,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2001_17,2009_18,2009_19,2009_20,2005_21,2005_22,2009_23,2009_24,2005_25,2011_26,2009_27,2009_28,2009_29,2009_30,2009_31,2012,2009_33,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2010_43,2010_44,2010_45,2011_46,2009_47,2009_48,2011_49,2009_50,2009_51,2009_52,2005_53,2005,2006_55,2009_56,2009_57,2009_58,2006_59,2007,2009_61,2001_62,2010,2009_64,2011_elecc,2011_partic
10,20006,Alkiza,0.0,5.63,0.0,201.13,40.2,0.0,20.1,0.0,3.0,96.71,0.0,2.82,247.14,2.8,2.8,30.0,97.67,100.0,0.0,0.0,261.52,61.54,0.0,10.53,52.75,69.3,11.27,65.28,15.13,20.0,16.67,36.11,63.33,19.61,19.05,-81.47,0.0,0.0,0.85,45.33,0.0,0.0,18.62,52.07,16.9,100.0,1.4,357.0,86.54,0.0,-2.8,0.34,0.25,70.17,138.43,12.5,14.16,16.9,4.66,8.33,36.78,29.06,19.88,13.7,74.18,1
11,48912,Alonsotegi,87.5,3.53,0.0,318.25,44.2,0.0,3.06,8.84,3.0,98.08,0.0,2.47,184.27,8.82,2.82,132.48,91.09,38.51,3.54,0.0,514.3,91.62,0.0,4.35,37.68,64.4,44.14,53.99,19.82,21.62,20.46,7.5,57.92,7.05,11.68,338.83,10.61,0.0,0.56,4.24,0.0,0.0,17.23,52.17,17.0,100.0,3.49,2835.0,83.38,0.71,0.71,2.11,0.28,47.29,77.49,6.86,10.96,12.01,3.32,6.02,2.16,12.17,30.1,11.73,73.68,1
12,20906,Altzaga,100.0,6.25,0.0,213.84,42.7,62.89,0.0,0.0,3.0,96.71,0.0,0.0,177.64,0.0,0.0,64.4,100.0,100.0,0.0,0.0,213.68,36.01,0.0,0.0,38.96,68.8,39.25,56.31,11.8,40.0,6.67,13.33,53.33,18.63,22.98,482.89,0.0,0.0,0.56,0.0,0.0,0.0,14.93,54.48,26.12,100.0,2.48,161.0,82.09,6.29,0.0,1.52,3.2,59.6,138.52,163.16,389.94,6.25,2.4,11.68,65.98,40.68,33.77,54.05,78.99,1
13,20007,Altzo,80.0,12.5,0.0,221.11,43.3,25.13,26.49,50.25,3.0,96.71,0.0,-2.5,137.01,0.0,0.0,41.02,98.82,26.78,0.0,0.0,382.39,54.38,0.0,9.52,52.75,66.5,20.0,56.42,10.45,21.05,23.68,14.89,55.26,2.49,22.64,128.2,0.0,0.0,0.86,0.0,0.0,0.0,18.81,59.7,20.6,92.5,2.74,402.0,83.65,2.51,-2.49,0.93,0.41,69.8,146.45,4.4,10.05,15.0,2.19,6.1,18.93,23.13,19.43,32.61,71.57,2
14,20008,Amezketa,100.0,7.06,0.0,25.15,42.3,10.06,7.83,0.0,2.0,96.71,0.0,-1.01,127.56,6.06,0.0,48.06,98.47,41.59,10.06,0.0,262.09,28.46,0.0,5.56,45.39,63.4,25.2,60.71,20.51,35.63,14.94,31.07,49.43,9.09,14.14,723.43,10.06,0.0,0.84,12.07,0.0,0.0,12.35,37.49,12.46,98.28,6.16,990.0,66.84,1.01,5.05,0.98,0.19,61.21,98.76,33.33,67.4,7.06,5.1,9.31,-0.5,26.91,24.08,20.98,73.06,1
15,48003,Amorebieta-Etxano,44.0,5.03,20.35,170.07,34.5,1.67,1.57,3.73,3.0,96.44,19.43,1.4,138.17,12.5,9.02,306.04,76.28,32.22,3.34,1.68,276.2,65.74,76.86,5.58,43.85,75.7,23.01,53.37,16.93,22.13,8.45,3.57,69.42,6.73,13.83,619.66,8.9,0.56,0.62,7.51,0.0,78.83,17.49,58.16,20.77,79.93,6.2,17842.0,61.53,0.89,9.81,3.63,0.19,65.2,91.57,5.87,6.9,9.72,0.83,5.99,9.84,13.44,13.22,9.14,67.74,2
16,48004,Amoroto,66.67,14.6,0.0,183.57,38.1,0.0,0.0,72.46,3.0,98.9,0.0,-7.3,180.25,2.45,2.45,31.63,98.04,17.03,0.0,0.0,244.78,43.18,0.0,12.5,42.0,68.9,17.03,64.52,20.34,15.79,15.79,50.0,68.42,12.25,15.69,325.83,0.0,0.0,0.71,24.15,0.0,0.0,12.3,47.06,17.38,100.0,2.7,408.0,70.45,2.42,-2.45,0.72,0.47,83.26,166.34,24.73,55.56,4.87,16.41,31.58,12.09,18.05,20.43,30.3,71.47,2
17,1002,Amurrio,85.71,10.33,33.3,206.57,37.4,1.99,2.76,8.16,3.0,100.0,5.39,0.1,231.62,11.6,7.43,104.66,83.52,28.77,2.99,1.98,481.64,27.11,91.04,4.41,43.32,73.6,25.42,50.0,16.92,16.36,10.69,11.33,72.96,5.85,11.89,146.74,9.95,0.99,0.64,6.07,0.4,35.86,18.06,57.78,19.16,73.78,6.31,10089.0,56.5,0.7,6.24,2.58,2.27,57.79,97.64,12.08,29.85,8.44,7.14,19.29,3.45,11.17,18.62,10.69,69.56,2
18,20009,Andoain,21.21,16.56,19.07,133.82,34.3,0.68,1.7,3.41,1.0,99.73,18.53,3.95,158.46,10.9,6.47,535.73,86.94,38.86,4.09,2.04,335.49,55.82,85.84,4.25,57.28,71.4,22.15,51.89,17.25,20.16,9.88,3.06,69.96,5.18,13.24,215.13,8.18,0.68,0.58,0.82,0.0,43.56,17.54,55.05,17.06,75.96,4.02,14679.0,71.9,1.43,0.41,3.99,1.35,57.63,79.87,26.37,19.64,12.27,1.2,10.67,3.02,12.56,11.82,8.51,63.38,2
19,20010,Anoeta,100.0,2.16,0.0,156.22,31.9,5.41,5.42,0.0,1.0,96.71,0.0,7.56,157.92,8.64,5.94,451.46,91.41,33.88,5.41,0.0,224.91,31.99,0.0,5.41,52.75,68.1,36.2,53.74,13.29,15.97,13.19,6.29,70.83,4.86,17.07,105.67,5.41,0.0,0.69,3.78,0.0,0.0,17.82,53.17,16.16,96.71,5.35,1851.0,85.1,0.54,4.86,5.93,0.0,53.66,83.11,4.12,5.41,12.97,0.48,4.15,7.74,10.68,7.25,9.38,66.17,2
20,20011,Antzuola,59.64,5.54,0.0,261.92,32.6,9.25,3.99,14.81,3.0,96.44,0.0,10.16,159.32,6.92,2.77,78.27,94.17,20.25,4.63,0.0,287.23,77.31,62.5,4.26,31.45,71.9,60.51,53.65,16.79,21.68,14.69,8.51,63.64,5.07,14.62,733.07,9.25,0.0,0.63,5.55,0.0,21.39,21.59,64.39,20.69,100.0,4.75,2168.0,63.14,0.46,0.92,0.99,0.11,80.69,94.25,10.99,13.88,18.01,8.65,7.81,14.11,13.47,11.25,17.86,72.92,1
21,48005,Arakaldo,28.57,19.23,0.0,892.86,45.2,0.0,0.0,0.0,3.0,100.0,0.0,-9.62,214.49,10.53,21.05,36.54,100.0,33.96,0.0,105.26,293.96,64.37,0.0,0.0,48.71,59.4,115.38,82.69,28.42,22.22,22.22,4.76,55.56,21.05,16.84,297.22,0.0,0.0,1.01,294.64,0.0,0.0,23.47,58.16,17.35,100.0,0.0,95.0,85.71,8.93,-31.58,5.42,6.15,79.62,97.27,2.84,35.71,0.0,1.05,9.55,7.95,26.67,39.34,100.0,81.25,1
22,20012,Arama,33.33,62.2,0.0,435.78,30.9,0.0,18.99,0.0,3.0,96.71,0.0,4.78,163.2,15.08,15.08,153.08,100.0,20.0,0.0,0.0,264.5,69.44,0.0,0.0,30.8,67.8,23.92,73.04,22.11,17.86,14.29,12.5,67.86,5.03,16.08,175.46,0.0,0.0,2.08,0.0,0.0,0.0,21.28,63.3,19.68,92.86,4.02,199.0,88.76,4.59,-5.03,2.54,1.54,57.69,134.96,42.42,64.22,14.35,0.7,9.98,18.45,13.11,12.5,47.62,75.82,1
23,1003,Aramaio,66.67,9.35,0.0,66.8,35.2,0.0,6.64,0.0,3.0,96.44,0.0,-2.0,155.58,6.0,0.67,20.31,95.61,52.49,6.68,0.0,293.72,14.87,0.0,4.44,31.45,68.9,13.35,61.88,19.08,19.75,9.88,25.56,70.37,6.0,15.41,238.3,13.36,0.0,0.79,18.7,0.0,0.0,21.61,60.18,22.35,100.0,2.33,1499.0,89.22,0.0,2.67,0.15,0.88,77.75,121.39,4.5,3.34,10.01,9.78,9.21,9.18,15.6,14.16,16.95,74.75,1
