,Municipio,latitud,longitud,Prediccion,part_pred_2019,Censo,Part_Votos
95,Etxebarri,43.2474168,-2.8897724,2,63,8358.0,5265
96,Etxebarria,43.2542252,-2.4765923,1,76,606.0,460
97,Forua,43.3329632,-2.6761163,2,80,767.0,613
98,Fruiz,43.3279874,-2.7847278,1,76,415.0,315
99,Gabiria,43.05025379999999,-2.2791464,1,78,393.0,306
100,Gaintza,43.0530503,-2.1331865000000003,1,83,101.0,83
101,Galdakao,43.2332639,-2.8453385,2,62,24026.0,14896
102,Galdames,43.2541103,-3.097637,1,79,678.0,535
103,Gamiz-Fika,43.3101943,-2.8093220000000003,2,76,1124.0,854
104,Garai,43.1936552,-2.6114951,1,85,237.0,201
105,Gatika,43.3629994,-2.8737742,2,75,1280.0,960
106,Gautegiz Arteaga,43.3680455,-2.6522978,1,81,694.0,562
107,Gaztelu,43.1164447,-2.0228291,1,86,121.0,104
108,Gernika-Lumo,43.3143628,-2.6778511000000003,2,67,12617.0,8453
109,Getaria,43.3044559,-2.2037374,2,75,2112.0,1584
110,Getxo,43.3479409,-3.0087671,2,64,62703.0,40129
111,Gizaburuaga,43.3309436,-2.5379481,1,80,160.0,128
112,Gordexola,43.1798646,-3.0739299,1,79,1364.0,1077
113,Gorliz,43.4139073,-2.9351774,2,67,4433.0,2970
114,Güeñes,43.2104511,-3.0945498,2,67,5175.0,3467
115,Harana/Valle de Arana,42.75671970000001,-2.32071,1,74,218.0,161
116,Hernani,43.2661645,-1.9749167,2,64,15332.0,9812
117,Hernialde,43.1544948,-2.085194,1,77,254.0,195
118,Hondarribia,43.36244979999999,-1.7914288,2,63,13255.0,8350
119,Ibarra,43.1316471,-2.0622574,2,66,3224.0,2127
120,Ibarrangelu,43.3896126,-2.6311482,1,77,558.0,429
121,Idiazabal,43.0106787,-2.2336127999999995,2,71,1734.0,1231
122,Igorre,43.1642445,-2.7783435,2,71,3148.0,2235
123,Ikaztegieta,43.0945249,-2.1242678,1,80,367.0,293
124,Irun,43.3383176,-1.7888095000000002,2,60,46709.0,28025
125,Irura,43.1675342,-2.0672224,2,71,1224.0,869
126,Iruraiz-Gauna,42.8309221,-2.4296269,1,70,421.0,294
127,Iruña Oka/Iruña de Oca,42.8246442,-2.8206006,2,69,2353.0,1623
128,Ispaster,43.3565296,-2.5531077,1,83,549.0,455
129,Itsasondo,43.0678266,-2.1672356,1,79,475.0,375
130,Iurreta,43.17631779999999,-2.6338582,2,66,2892.0,1908
131,Izurtza,43.1541734,-2.6399183,1,81,193.0,156
132,Karrantza Harana/Valle de Carranza,43.2388933,-3.3577112,2,77,2316.0,1783
133,Kortezubi,43.34088320000001,-2.6554179,1,79,346.0,273
134,Kripan,42.5919931,-2.5153878,1,80,151.0,120
135,Kuartango,42.8863726,-2.9401423,1,74,326.0,241
136,Labastida/Bastida,42.5903817,-2.7928698,1,76,1072.0,814
137,Lagrán,42.6255515,-2.5836433,1,83,156.0,129
138,Lanciego/Lantziego,42.56276810000001,-2.5126326,1,81,512.0,414
139,Lanestosa,43.2184716,-3.4391344,1,80,214.0,171
140,Lantarón,42.7478259,-2.9942274,1,70,737.0,515
141,Lapuebla de Labarca,42.4934805,-2.5755974,1,81,644.0,521
142,Larrabetzu,43.2612471,-2.7959022,2,71,1561.0,1108
143,Larraul,43.1879341,-2.1023955,1,80,183.0,146
144,Lasarte-Oria,43.2684642,-2.0193784,2,62,14141.0,8767
145,Laudio/Llodio,43.143069200000006,-2.9624876,2,65,14946.0,9714
146,Laukiz,43.3521341,-2.9073702,1,77,897.0,690
147,Lazkao,43.0334542,-2.1861651,2,67,4119.0,2759
148,Leaburu,43.12468120000001,-2.052317,1,82,269.0,220
149,Legazpi,43.051235,-2.3344403,2,65,6859.0,4458
150,Legorreta,43.0848925,-2.1486222,2,77,1085.0,835
151,Legutio,42.979158700000006,-2.6426345,2,68,1356.0,922
152,Leintz-Gatzaga,42.9868906,-2.5687408,1,65,189.0,122
153,Leioa,43.3271048,-2.9846079,2,60,24207.0,14524
154,Lekeitio,43.3637081,-2.5059965,2,73,5700.0,4161
155,Lemoa,43.20987750000001,-2.7788097,2,66,2662.0,1756
156,Lemoiz,43.4120254,-2.9026473,1,74,969.0,717
157,Leza,42.56555529999999,-2.6342866000000003,1,77,156.0,120
158,Lezama,43.2743248,-2.8329246,2,73,1870.0,1365
159,Lezo,43.32123920000001,-1.8996138,2,61,4785.0,2918
160,Lizartza,43.1033934,-2.0344740000000003,1,80,441.0,352
161,Loiu,43.3147645,-2.9388878,2,71,1817.0,1290
162,Mallabia,43.1895207,-2.5298369,1,76,969.0,736
163,Markina-Xemein,43.2675586,-2.4974864,2,71,3632.0,2578
164,Maruri-Jatabe,43.38018,-2.866926,1,79,765.0,604
165,Mañaria,43.1383492,-2.6608199,1,79,402.0,317
166,Mendaro,43.2525004,-2.3858392000000004,2,67,1440.0,964
167,Mendata,43.28119570000001,-2.6437276,1,86,302.0,259
168,Mendexa,43.34656920000001,-2.4867026,1,84,371.0,311
169,Meñaka,43.3627405,-2.8023477000000003,1,76,602.0,457
170,Moreda de Álava / Moreda Araba,42.5271966,-2.4163449,1,81,210.0,170
171,Morga,43.3000301,-2.752374,1,82,350.0,287
172,Mundaka,43.407824,-2.6992833,2,78,1553.0,1211
173,Mungia,43.35406629999999,-2.8464157,2,68,12795.0,8700
174,Munitibar-Arbatzegi Gerrikaitz-,43.2658092,-2.5926035,1,80,363.0,290
175,Murueta,43.3514766,-2.6811763,1,86,249.0,214
176,Muskiz,43.3230375,-3.1243029,2,66,6098.0,4024
