,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
122,71.43,3.79,0.0,190.14,44.2,2.36,3.96,2.12,3.0,98.9,72.43,0.0,171.32,13.73,8.29,249.03,71.43,90.24,20.89,2.38,4.7,261.18,41.31,0.0,3.82,41.79,74.9,27.0,62.25,18.63,10.81,10.54,7.03,71.62,6.16,16.21,182.08,11.77,182.08,0.71,2.35,0.0,0.0,22.02,60.89,20.26,93.96,9.6,4251.0,66.78,0.48,190.14,4.23,3.91,1.76,67.55,93.5,15.98,20.05,8.23,0.0,0.8,6.9,4.52,14.27,19.67,11.24
123,33.33,8.28,0.0,300.0,81.2,42.55,13.67,40.43,3.0,99.18,34.65,0.0,155.51,0.0,2.07,233.17,33.33,97.18,30.11,0.0,0.0,748.15,36.37,100.0,11.11,52.75,65.3,26.92,67.13,18.83,8.16,28.57,10.2,53.06,4.14,16.11,20.94,0.0,20.94,0.69,0.0,50.21,0.0,19.17,63.51,18.48,100.0,6.69,478.0,85.56,0.0,300.0,8.37,5.46,0.98,45.37,105.4,11.49,21.28,6.28,0.0,0.7,6.43,5.05,16.67,20.0,27.78
124,16.13,7.79,46.12,139.49,37.3,1.97,1.77,3.1,3.0,100.0,88.9,-3.01,176.78,14.06,9.22,1476.0,16.13,74.97,45.81,3.9,3.23,318.36,42.77,121.53,3.41,42.0,72.1,43.71,66.67,21.02,15.4,6.36,0.74,77.49,5.65,14.45,125.87,4.74,125.87,0.67,14.26,0.79,28.38,19.47,63.32,20.23,57.12,9.07,61855.0,48.06,1.72,139.49,1.52,13.65,1.1,50.53,83.6,2.26,1.69,7.05,-3.01,1.57,1.82,2.38,10.18,24.47,6.06
125,42.86,18.29,0.0,234.62,27.0,0.0,5.45,0.0,3.0,99.18,158.81,10.42,149.45,5.54,4.99,628.62,42.86,78.41,25.02,5.6,5.49,221.55,31.61,0.0,4.35,52.75,77.1,23.28,60.33,10.04,13.66,20.5,0.62,65.22,3.33,23.42,142.81,0.0,142.81,0.75,0.0,0.0,0.0,24.91,69.59,22.69,100.0,8.17,1823.0,85.96,0.56,234.62,5.49,10.0,1.72,66.21,90.5,0.31,0.63,15.91,10.42,0.05,4.88,43.54,13.81,12.33,9.04
126,31.82,57.47,0.0,542.07,33.9,0.0,0.0,88.06,3.0,100.0,19.29,-13.21,167.08,1.92,1.92,11.26,31.82,100.0,90.29,0.0,0.0,234.5,17.13,0.0,11.11,47.43,64.7,9.58,53.62,17.17,5.97,4.48,64.18,25.37,3.83,12.26,27.1,0.0,27.1,1.06,0.0,0.0,0.0,23.67,61.74,20.91,100.0,3.21,530.0,84.17,0.0,542.07,1.89,1.7,57.31,35.52,157.5,1.36,17.61,3.77,-13.21,5.02,18.51,9.73,22.01,36.52,131.58
127,50.0,18.37,0.0,103.94,31.2,0.0,4.03,0.0,3.0,100.0,81.44,0.92,312.0,3.67,2.75,61.52,50.0,97.73,20.17,3.06,6.13,431.76,24.07,178.38,4.3,7.04,79.6,34.59,56.1,11.52,11.79,13.01,7.32,67.89,3.67,19.91,267.87,6.44,267.87,1.04,2.45,0.0,98.4,20.77,61.57,15.92,91.21,6.5,3264.0,78.74,0.31,103.94,18.69,6.23,26.59,51.66,114.5,0.76,6.73,6.13,0.92,2.53,11.93,26.17,18.53,19.44,9.4
128,25.0,7.0,0.0,187.13,51.1,0.0,0.0,46.41,3.0,100.0,12.14,0.0,177.34,2.8,2.8,30.87,25.0,100.0,66.67,0.0,0.0,235.93,67.23,25.0,11.11,42.0,69.2,5.6,77.39,22.38,8.33,8.33,27.08,56.25,11.2,18.27,457.93,0.0,457.93,0.82,86.4,0.0,25.32,16.69,59.39,23.11,100.0,4.67,706.0,86.9,0.0,187.13,9.92,0.7,0.92,79.49,131.9,5.77,4.49,9.92,0.0,19.82,25.61,12.24,25.4,24.28,23.53
129,50.0,16.92,0.0,234.49,44.4,0.0,11.41,7.56,3.0,99.18,33.42,4.67,128.01,3.08,0.0,71.81,50.0,97.94,23.92,15.2,0.0,243.42,38.17,0.0,11.11,23.9,62.0,18.46,73.51,19.16,19.05,21.43,7.14,52.38,4.62,18.85,119.73,0.0,119.73,0.77,70.09,0.0,0.0,19.82,56.64,17.52,97.92,7.32,642.0,86.97,0.0,234.49,10.9,1.45,0.34,78.19,94.6,21.49,39.33,12.46,4.67,0.72,10.0,5.25,16.31,40.0,17.24
130,100.0,19.24,0.0,238.98,43.5,2.62,8.59,13.12,3.0,98.9,53.23,-6.01,176.78,8.4,8.94,194.06,100.0,89.62,23.61,2.69,13.67,209.01,44.92,0.0,5.41,47.06,66.6,48.5,69.12,23.84,12.57,21.51,5.87,60.06,4.61,13.29,-67.79,2.64,-67.79,0.91,0.0,0.0,0.0,18.48,53.34,16.56,89.8,7.35,3658.0,80.79,1.34,238.98,4.1,5.33,0.48,55.86,86.0,9.09,13.12,7.65,-6.01,0.49,10.99,-4.84,13.22,32.34,4.58
131,100.0,12.77,0.0,355.56,49.1,0.0,28.37,0.0,3.0,98.9,54.55,-4.33,178.91,4.26,8.51,52.98,100.0,98.57,18.23,0.0,43.29,200.57,63.83,0.0,0.0,77.34,63.2,97.87,46.2,17.75,10.0,35.0,5.0,50.0,8.51,12.12,781.44,0.0,781.44,1.16,0.0,0.0,0.0,24.78,68.26,24.78,100.0,3.9,231.0,78.33,0.0,355.56,86.58,4.5,1.15,68.58,122.0,19.08,92.59,0.0,-4.33,2.18,11.79,-5.71,13.91,48.72,68.97
