,Código municipio,Municipio,2009_1,2013_2,2009_3,2009_4,2013_5,2009_6,2013_7,2009_8,2013_9,2013_10,2013_11,2013_12,2014_13,2013_14,2013_15,2013_16,2009_17,2001,2013_19,2014_20,2013_21,2005_22,2005_23,2011_24,2013_25,2005_26,2011_27,2013_28,2013_29,2013_30,2013_31,2013_32,2013_33,2013_34,2013_35,2013_36,2013_37,2013_38,2013_39,2013_40,2010_41,2011_42,2011_43,2013_44,2013_45,2013_46,2011_47,2013_48,2013_49,2011_50,2013_51,2009_52,2013_53,2013_54,2005_55,2010_56,2013_57,2009_58,2009_59,2013_60,2013_61,2006,2007,2013_64,2011,2013,2009_67,2015_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
100,20037,Gaintza,20.0,"0,00","0,00","179,69","35,30","0,00","0,00","0,00","3,00","99,18","0,00","0,00","157,90","0,00","0,00","20,14","20,00","100,00","100,00","0,00","0,00","194,96","50,22","0,00","25,00","48,80","68,70","8,33","63,01","21,85","11,76","0,00","52,94","35,29","16,67","14,29","503,38","0,00","503,38","0,90","0,00","0,00","0,00","17,27","51,82","20,00","100,00","1,68","119,00","91,84","0,00","179,69","8,33","0,20","0,50","66,50","136,60","25,00","23,44","8,33","0,00","6,49","15,77","-7,75","26,67","18,92","105,26",2,2,1,1,2
101,48036,Galdakao,58.21,"9,87","13,69","137,90","34,70","0,34","2,71","2,60","3,00","99,45","0,00","1,40","175,53","11,13","8,02","934,11","58,21","69,72","37,87","3,75","1,71","243,80","44,63","83,94","2,96","2,33","71,00","44,60","54,05","17,77","13,58","7,18","1,47","77,76","5,29","12,80","8,86","6,81","8,86","0,65","1,65","0,00","43,34","18,00","61,04","22,47","88,83","3,09","29.219,00","72,85","1,19","137,90","0,75","12,81","1,01","59,09","85,60","17,07","18,19","8,81","1,40","0,22","2,31","-1,83","10,55","12,11","6,15",2,1,2,2,1
102,48037,Galdames,40.0,"9,77","0,00","577,57","68,60","0,00","10,75","47,73","2,00","100,00","0,00","-9,77","315,19","2,44","0,00","18,52","40,00","99,25","46,65","12,30","0,00","402,93","35,88","100,00","0,00","47,61","61,10","25,64","57,47","23,97","8,99","12,36","34,83","43,82","7,33","10,58","40,45","0,00","40,45","0,93","0,00","21,35","0,00","26,00","61,19","18,37","100,00","1,58","822,00","80,94","0,00","577,57","-4,88","0,49","0,11","62,83","101,30","1,60","3,58","7,33","-9,77","7,70","16,73","2,49","16,54","52,82","61,73",1,1,2,2,1
103,48038,Gamiz-Fika,25.0,"5,95","0,00","138,66","43,80","0,00","2,74","13,56","3,00","100,00","0,00","-2,97","177,34","2,23","0,74","88,51","25,00","99,36","76,32","7,44","0,00","282,38","36,88","83,33","0,00","14,13","68,80","22,30","59,15","18,62","8,51","5,32","29,79","56,38","7,43","13,13","128,90","0,00","128,90","0,83","28,55","0,00","150,00","16,18","66,43","29,23","100,00","3,56","1.348,00","87,09","0,00","138,66","-2,97","2,57","0,45","44,71","139,50","3,51","9,80","7,43","-2,97","8,11","16,89","9,86","13,32","22,40","11,36",2,1,2,2,1
104,48039,Garai,66.67,"3,10","0,00","547,99","52,20","0,00","0,00","0,00","1,00","98,90","0,00","6,19","152,54","0,00","0,00","46,22","66,67","100,00","100,00","0,00","0,00","111,47","14,65","0,00","0,00","43,85","64,60","58,82","58,65","14,85","13,64","0,00","27,27","59,09","6,19","18,18","264,47","0,00","264,47","0,82","0,00","0,00","0,00","17,83","66,08","29,02","100,00","1,21","330,00","84,38","0,00","547,99","-3,10","0,48","0,14","75,77","161,60","88,00","68,11","12,38","6,19","3,79","15,13","20,00","18,05","37,88","39,22",1,1,2,2,1
105,48040,Gatika,55.56,"5,58","0,00","175,16","31,00","0,00","3,04","13,38","3,00","100,00","0,00","4,34","176,60","1,86","0,62","93,28","55,56","99,40","56,22","6,05","0,00","248,23","34,44","88,89","8,70","54,47","73,20","48,36","60,62","17,19","13,14","20,44","13,87","52,55","4,34","16,82","115,77","0,00","115,77","0,88","6,31","0,00","96,09","17,99","74,07","26,49","100,00","2,61","1.611,00","86,27","0,00","175,16","-6,82","1,10","3,43","40,58","115,30","39,42","26,11","11,16","4,34","5,60","12,83","24,40","14,33","15,28","7,66",2,1,2,2,1
106,48041,Gautegiz Arteaga,80.0,"22,68","0,00","413,12","44,30","0,00","0,00","0,00","3,00","100,00","0,00","-1,13","124,69","1,13","0,00","65,62","80,00","99,68","71,32","11,66","0,00","251,63","36,77","0,00","7,41","68,62","68,00","22,68","55,65","17,99","13,64","6,06","4,55","75,76","11,34","12,63","118,27","0,00","118,27","0,90","75,09","0,00","0,00","15,68","73,94","34,62","100,00","6,15","895,00","85,60","0,00","413,12","-14,74","5,37","0,37","61,91","155,60","4,09","34,52","10,20","-1,13","11,92","16,94","3,23","10,97","25,40","18,52",1,1,2,2,1
107,20907,Gaztelu,100.0,"0,00","0,00","180,72","44,90","180,72","0,00","0,00","3,00","99,18","0,00","-5,85","139,97","0,00","0,00","18,30","100,00","100,00","100,00","0,00","0,00","297,46","97,10","0,00","0,00","52,75","61,10","5,85","61,90","15,88","25,00","0,00","50,00","25,00","11,70","18,82","-88,69","0,00","-88,69","0,61","0,00","0,00","0,00","16,88","46,75","16,88","100,00","0,00","170,00","89,04","0,00","180,72","23,39","0,12","0,11","75,39","105,20","5,26","6,02","5,85","-5,85","6,56","8,34","13,33","19,48","15,00","40,00",1,2,1,1,2
108,48046,Gernika-Lumo,80.0,"2,91","21,12","92,05","37,00","1,84","1,65","0,37","3,00","100,00","11,35","-0,30","119,25","17,17","12,83","1.976,91","80,00","75,81","55,94","4,18","1,78","337,09","36,87","92,11","4,68","32,67","73,80","51,87","65,44","20,96","13,37","7,82","2,77","76,03","6,36","14,40","29,43","8,33","29,43","0,61","8,70","0,00","43,62","14,28","61,37","26,76","77,79","10,04","16.863,00","61,89","1,25","92,05","-7,66","16,52","2,83","45,58","91,20","14,56","13,01","9,15","-0,30","8,86","13,88","9,12","14,49","19,16","4,55",2,1,2,2,1
109,20039,Getaria,71.43,"16,63","0,00","211,96","38,40","11,21","4,54","0,00","3,00","100,00","0,00","-0,74","152,80","10,35","4,07","246,20","71,43","87,38","43,02","3,59","3,72","264,50","35,90","0,00","4,26","14,70","60,40","29,93","61,42","18,13","4,90","19,58","19,23","56,29","15,89","14,89","149,42","11,01","149,42","0,71","111,03","0,00","0,00","16,99","58,28","21,61","98,65","8,60","2.686,00","59,38","0,00","211,96","9,24","2,68","12,92","25,94","95,60","34,02","62,06","9,24","-0,74","1,13","19,17","7,70","20,84","19,90","9,43",1,2,1,1,2
