,Código municipio,Municipio,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
232,20079,Zarautz,84.85,"6,14","30,94","134,96","50,10","3,97","2,08","2,43","3,00","100,00","95,93","0,99","152,62","14,27","9,78","1.625,74","84,85","68,41","48,64","3,46","0,43","268,14","41,51","107,97","4,18","35,70","71,50","37,50","65,84","19,40","10,35","7,76","2,28","79,61","7,44","14,94","60,28","6,99","60,28","0,55","100,44","0,00","30,77","18,08","70,45","29,30","75,29","5,18","23.118,00","56,15","1,82","134,96","4,76","11,30","6,28","28,27","88,40","20,76","15,36","7,57","0,99","1,61","16,16","3,60","7,10","14,90","8,72"
233,48024,Zeanuri,37.5,"16,84","0,00","218,13","39,90","7,68","0,00","0,00","3,00","98,90","11,03","-0,81","175,19","4,01","0,80","18,48","37,50","100,00","73,71","7,99","8,06","248,56","47,94","0,00","7,14","30,65","70,00","35,28","67,25","21,19","12,15","4,67","19,63","63,55","14,43","13,78","109,71","7,88","109,71","0,74","130,54","0,00","0,00","23,78","69,10","28,50","90,00","3,46","1.241,00","84,95","0,80","218,13","0,81","0,28","0,54","70,11","119,00","7,25","7,68","9,67","-0,81","1,72","13,26","-3,27","20,06","37,50","22,47"
234,48025,Zeberio,66.67,"3,70","0,00","77,36","47,70","0,00","0,00","0,00","3,00","100,00","12,16","-3,72","175,75","4,63","1,85","22,54","66,67","97,78","69,89","9,20","0,00","342,42","30,62","100,00","6,90","45,57","63,30","35,15","63,97","20,67","12,05","7,23","14,46","66,27","6,48","14,06","75,97","9,22","75,97","0,82","42,83","0,00","319,82","19,75","65,59","25,47","98,90","2,51","1.074,00","83,52","0,00","77,36","0,93","0,28","0,44","86,00","121,80","9,76","7,55","6,52","-3,72","6,34","12,81","0,19","21,47","41,12","14,18"
235,20025,Zegama,100.0,"3,93","0,00","305,23","65,50","6,54","7,97","0,00","3,00","99,18","29,06","-1,30","150,54","4,59","0,00","44,07","100,00","97,71","56,96","6,61","0,00","405,66","27,06","75,00","4,35","42,50","62,20","20,98","71,70","19,93","3,85","12,50","20,19","63,46","5,90","19,02","-24,04","13,10","-24,04","0,78","22,15","0,00","13,07","21,24","61,15","15,72","100,00","6,64","1.535,00","77,83","0,00","305,23","2,61","0,68","0,35","79,84","93,90","12,09","21,57","11,07","-1,30","5,22","14,07","9,10","21,87","34,77","30,77"
236,20026,Zerain,37.5,"11,90","0,00","293,17","48,30","0,00","0,00","0,00","3,00","99,18","7,30","4,03","156,94","0,00","0,00","24,39","37,50","98,86","69,88","0,00","0,00","310,54","63,97","0,00","10,00","30,30","67,50","35,71","81,02","25,00","3,12","25,00","28,12","43,75","23,81","16,94","152,17","0,00","152,17","0,89","274,19","0,00","0,00","19,03","64,16","25,66","95,45","2,82","248,00","86,24","3,92","293,17","0,00","0,39","0,79","70,99","149,70","97,44","152,61","12,10","4,03","3,79","12,10","0,00","24,50","22,73","34,48"
237,20027,Zestoa,13.33,"17,99","0,00","185,38","35,30","0,00","4,21","9,88","3,00","100,00","47,25","-2,69","190,92","8,06","4,83","85,04","13,33","91,61","36,86","2,68","8,08","376,27","65,12","127,03","5,11","49,40","68,60","24,70","68,39","18,83","8,00","18,00","14,86","59,14","6,18","17,75","148,60","8,21","148,60","0,69","79,45","0,00","105,87","19,04","56,89","19,34","93,03","6,44","3.713,00","69,58","0,54","185,38","8,35","1,96","1,37","56,16","107,30","11,09","29,63","8,62","-2,69","3,22","23,22","8,89","25,47","23,66","14,87"
238,48913,Zierbena,40.0,"16,74","0,00","698,14","35,50","0,00","4,11","32,19","3,00","99,45","34,80","0,00","172,72","1,34","1,34","119,95","40,00","96,00","28,18","0,00","6,68","274,03","108,06","120,83","0,00","64,74","67,80","99,13","53,54","18,64","8,39","11,61","6,45","73,55","18,08","12,63","191,51","0,00","191,51","0,88","38,74","0,00","172,04","23,92","67,45","22,60","98,03","2,87","1.497,00","74,71","1,34","698,14","-1,34","27,09","2,64","7,85","94,20","1,38","21,46","9,35","0,00","0,77","9,43","15,24","9,42","29,97","41,38"
239,1018,Zigoitia,62.5,"41,21","1.787,75","1.092,09","48,80","0,00","1,92","0,00","3,00","100,00","32,80","-5,10","266,43","13,74","13,17","17,24","62,50","98,09","34,08","5,79","0,00","242,90","20,32","153,12","6,00","39,36","72,40","59,53","58,39","17,10","11,38","5,99","21,56","61,08","7,44","15,57","-71,26","5,74","-71,26","0,94","26,61","0,00","105,96","21,56","72,19","29,63","98,20","2,15","1.766,00","88,66","0,58","1.092,09","0,00","2,50","16,87","52,15","164,20","1,06","11,81","2,83","-5,10","3,78","10,50","16,72","11,03","19,98","40,16"
240,48915,Ziortza-Bolibar,100.0,"11,74","0,00","73,53","42,80","24,51","0,00","0,00","3,00","100,00","21,74","-7,14","178,61","0,00","0,00","22,29","100,00","89,04","100,00","0,00","0,00","290,29","69,98","0,00","0,00","40,00","79,60","30,52","64,06","23,81","7,69","7,69","30,77","53,85","16,43","12,86","-292,83","0,00","-292,83","0,47","166,67","0,00","0,00","25,67","59,41","20,54","100,00","1,67","420,00","90,91","0,00","73,53","7,14","0,29","0,11","75,96","106,30","17,78","19,61","7,14","-7,14","10,60","22,99","6,33","23,64","2,16","23,26"
241,20028,Zizurkil,16.67,"3,01","0,00","140,27","64,20","0,00","6,38","5,42","3,00","99,18","24,60","4,71","153,76","2,68","1,34","190,10","16,67","85,57","30,22","3,34","0,00","383,86","47,93","136,88","5,62","52,75","70,80","26,12","72,86","20,74","15,76","15,22","10,87","58,15","5,69","16,24","128,59","0,00","128,59","0,68","5,71","22,18","152,35","19,55","53,67","16,34","94,87","8,07","2.975,00","80,75","1,00","140,27","-2,69","2,80","0,26","56,42","92,00","12,17","16,63","12,10","4,71","1,17","7,73","6,63","15,71","13,56","14,35"
242,1063,Zuia,40.0,"32,15","0,00","522,70","39,60","4,16","4,47","0,00","3,00","100,00","25,60","-5,61","254,37","4,71","1,71","18,92","40,00","98,63","47,40","4,26","8,64","221,90","16,19","117,88","6,06","45,75","70,00","36,43","67,10","17,40","10,05","3,52","21,11","65,33","7,29","15,89","-53,36","4,12","-53,36","0,80","56,13","0,00","374,69","17,86","71,63","31,00","95,77","3,54","2.316,00","81,36","0,00","522,70","7,77","2,19","0,29","68,59","159,20","6,01","64,56","5,61","-5,61","2,54","14,39","-2,36","15,63","16,40","12,71"
243,20081,Zumaia,70.0,"7,27","58,05","221,16","48,30","4,28","2,73","4,93","3,00","100,00","66,41","-0,20","150,51","12,11","7,47","934,36","70,00","68,94","32,34","3,05","2,00","273,78","29,39","208,84","4,30","25,10","75,40","28,96","68,02","17,81","10,14","10,89","3,78","75,19","6,16","17,78","86,84","8,22","86,84","0,53","66,84","0,00","101,86","21,46","65,18","22,74","76,09","5,28","9.979,00","57,41","1,12","221,16","3,31","11,10","2,70","25,56","90,10","7,09","7,60","7,92","-0,20","0,10","21,95","11,17","15,71","17,51","3,90"
244,20080,Zumarraga,33.33,"8,40","32,66","540,20","43,60","0,00","3,74","7,97","3,00","99,20","101,18","-4,87","141,17","12,14","7,59","532,61","33,33","76,29","40,06","4,03","1,02","334,48","55,82","176,61","2,99","15,20","69,20","28,23","73,41","24,40","11,99","6,98","3,22","77,82","4,96","13,47","81,95","10,05","81,95","0,57","12,49","0,71","48,69","17,51","54,26","16,88","79,82","5,10","9.848,00","69,80","1,31","540,20","6,09","3,30","0,59","63,39","83,00","12,42","8,17","7,11","-4,87","7,09","0,52","-2,10","10,94","33,44","10,42"
