,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2009_17,2001_18,2009_19,2009_20,2009_21,2005_22,2005_23,2009_24,2009_25,2005_26,2011_27,2009_28,2009_29,2009_30,2009_31,2009_32,2012,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2009_43,2010_44,2010_45,2010_46,2011_47,2009_48,2009_48,2011_50,2009_51,2009_52,2009_53,2009_54,2005_55,2005,2006_57,2009_58,2009_59,2009_60,2009_61,2006_62,2007,2009_64,2001_65,2010,2009,2011_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
10,20006,Alkiza,0.0,"5,63","0,00","201,13","40,20","0,00","20,10","0,00","3,00","96,71","0,00","2,82","247,14","2,80","2,80","30,00","0,00","97,67","100,00","0,00","0,00","261,52","61,54","0,00","10,53","52,75","69,30","11,27","65,28","15,13","20,00","16,67","36,11","63,33","19,61","19,05","-81,47","0,00","-81,47","0,85","45,33","0,00","0,00","18,62","52,07","16,90","100,00","1,40","357,00","86,54","0,00","201,13","-2,80","0,34","0,25","70,17","138,43","12,50","14,16","16,90","2,82","4,66","8,33","36,78","29,06","19,88","13,70",1,2,1,1,2
11,48912,Alonsotegi,87.5,"3,53","0,00","318,25","44,20","0,00","3,06","8,84","3,00","98,08","0,00","2,47","184,27","8,82","2,82","132,48","87,50","91,09","38,51","3,54","0,00","514,30","91,62","0,00","4,35","37,68","64,40","44,14","53,99","19,82","21,62","20,46","7,50","57,92","7,05","11,68","338,83","10,61","338,83","0,56","4,24","0,00","0,00","17,23","52,17","17,00","100,00","3,49","2.835,00","83,38","0,71","318,25","0,71","2,11","0,28","47,29","77,49","6,86","10,96","12,01","2,47","3,32","6,02","2,16","12,17","30,10","11,73",1,1,2,2,1
12,20906,Altzaga,100.0,"6,25","0,00","213,84","42,70","62,89","0,00","0,00","3,00","96,71","0,00","0,00","177,64","0,00","0,00","64,40","100,00","100,00","100,00","0,00","0,00","213,68","36,01","0,00","0,00","38,96","68,80",39.25,"56,31","11,80","40,00","6,67","13,33","53,33","18,63","22,98","482,89","0,00","482,89","0,56","0,00","0,00","0,00","14,93","54,48","26,12","100,00","2,48","161,00","82,09","6,29","213,84","0,00","1,52","3,20","59,60","138,52","163,16","389,94","6,25","0,00","2,40","11,68","65,98","40,68","33,77","54,05",1,2,1,1,2
13,20007,Altzo,80.0,"12,50","0,00","221,11","43,30","25,13","26,49","50,25","3,00","96,71","0,00","-2,50","137,01","0,00","0,00","41,02","80,00","98,82","26,78","0,00","0,00","382,39","54,38","0,00","9,52","52,75","66,50","20,00","56,42","10,45","21,05","23,68","14,89","55,26","2,49","22,64","128,20","0,00","128,20","0,86","0,00","0,00","0,00","18,81","59,70","20,60","92,50","2,74","402,00","83,65","2,51","221,11","-2,49","0,93","0,41","69,80","146,45","4,40","10,05","15,00","-2,50","2,19","6,10","18,93","23,13","19,43","32,61",2,2,1,1,2
14,20008,Amezketa,100.0,"7,06","0,00","25,15","42,30","10,06","7,83","0,00","2,00","96,71","0,00","-1,01","127,56","6,06","0,00","48,06","100,00","98,47","41,59","10,06","0,00","262,09","28,46","0,00","5,56","45,39","63,40","25,20","60,71","20,51","35,63","14,94","31,07","49,43","9,09","14,14","723,43","10,06","723,43","0,84","12,07","0,00","0,00","12,35","37,49","12,46","98,28","6,16","990,00","66,84","1,01","25,15","5,05","0,98","0,19","61,21","98,76","33,33","67,40","7,06","-1,01","5,10","9,31","-0,50","26,91","24,08","20,98",2,2,1,1,2
15,48003,Amorebieta-Etxano,44.0,"5,03","20,35","170,07","34,50","1,67","1,57","3,73","3,00","96,44","19,43","1,40","138,17","12,50","9,02","306,04","44,00","76,28","32,22","3,34","1,68","276,20","65,74","76,86","5,58","43,85","75,70","23,01","53,37","16,93","22,13","8,45","3,57","69,42","6,73","13,83","619,66","8,90","619,66","0,62","7,51","0,00","78,83","17,49","58,16","20,77","79,93","6,20","17.842,00","61,53","0,89","170,07","9,81","3,63","0,19","65,20","91,57","5,87","6,90","9,72","1,40","0,83","5,99","9,84","13,44","13,22","9,14",2,1,2,2,1
16,48004,Amoroto,66.67,"14,60","0,00","183,57","38,10","0,00","0,00","72,46","3,00","98,90","0,00","-7,30","180,25","2,45","2,45","31,63","66,67","98,04","17,03","0,00","0,00","244,78","43,18","0,00","12,50","42,00","68,90","17,03","64,52","20,34","15,79","15,79","50,00","68,42","12,25","15,69","325,83","0,00","325,83","0,71","24,15","0,00","0,00","12,30","47,06","17,38","100,00","2,70","408,00","70,45","2,42","183,57","-2,45","0,72","0,47","83,26","166,34","24,73","55,56","4,87","-7,30","16,41","31,58","12,09","18,05","20,43","30,30",2,1,2,2,1
17,1002,Amurrio,85.71,"10,33","33,30","206,57","37,40","1,99","2,76","8,16","3,00","100,00","5,39","0,10","231,62","11,60","7,43","104,66","85,71","83,52","28,77","2,99","1,98","481,64","27,11","91,04","4,41","43,32","73,60","25,42","50,00","16,92","16,36","10,69","11,33","72,96","5,85","11,89","146,74","9,95","146,74","0,64","6,07","0,40","35,86","18,06","57,78","19,16","73,78","6,31","10.089,00","56,50","0,70","206,57","6,24","2,58","2,27","57,79","97,64","12,08","29,85","8,44","0,10","7,14","19,29","3,45","11,17","18,62","10,69",2,2,2,2,2
18,20009,Andoain,21.21,"16,56","19,07","133,82","34,30","0,68","1,70","3,41","1,00","99,73","18,53","3,95","158,46","10,90","6,47","535,73","21,21","86,94","38,86","4,09","2,04","335,49","55,82","85,84","4,25","57,28","71,40","22,15","51,89","17,25","20,16","9,88","3,06","69,96","5,18","13,24","215,13","8,18","215,13","0,58","0,82","0,00","43,56","17,54","55,05","17,06","75,96","4,02","14.679,00","71,90","1,43","133,82","0,41","3,99","1,35","57,63","79,87","26,37","19,64","12,27","3,95","1,20","10,67","3,02","12,56","11,82","8,51",2,2,1,1,2
19,20010,Anoeta,100.0,"2,16","0,00","156,22","31,90","5,41","5,42","0,00","1,00","96,71","0,00","7,56","157,92","8,64","5,94","451,46","100,00","91,41","33,88","5,41","0,00","224,91","31,99","0,00","5,41","52,75","68,10","36,20","53,74","13,29","15,97","13,19","6,29","70,83","4,86","17,07","105,67","5,41","105,67","0,69","3,78","0,00","0,00","17,82","53,17","16,16","96,71","5,35","1.851,00","85,10","0,54","156,22","4,86","5,93","0,00","53,66","83,11","4,12","5,41","12,97","7,56","0,48","4,15","7,74","10,68","7,25","9,38",2,2,1,1,2
