,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2009_17,2001_18,2009_19,2009_20,2009_21,2005_22,2005_23,2009_24,2009_25,2005_26,2011_27,2009_28,2009_29,2009_30,2009_31,2009_32,2012,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2009_43,2010_44,2010_45,2010_46,2011_47,2009_48,2009_48,2011_50,2009_51,2009_52,2009_53,2009_54,2005_55,2005,2006_57,2009_58,2009_59,2009_60,2009_61,2006_62,2007,2009_64,2001_65,2010,2009,2011_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
40,20903,Astigarraga,60.0,"10,86","0,00","328,10","33,90","2,12","4,76","2,97","3,00","99,73","0,00","10,23","193,91","12,61","10,26","406,78","60,00","94,24","41,17","2,12","2,14","259,92","39,70","50,00","1,88","44,00","75,30","48,15","48,46","10,97","16,32","22,16","3,12","61,51","9,41","17,61","-57,39","12,74","-57,39","0,93","10,19","0,00","29,47","19,94","62,87","20,73","99,51","5,47","4.678,00","80,73","1,27","328,10","2,99","8,66","7,04","43,30","89,79","15,46","32,70","14,91","10,23","6,68","10,46","39,43","14,01","16,30","11,75",2,2,1,1,2
41,20015,Ataun,50.0,"6,58","209,46","264,67","45,30","17,96","6,97","0,00","1,00","96,71","0,00","-1,80","157,53","4,19","0,60","28,47","50,00","96,28","72,25","5,99","5,98","234,99","30,78","0,00","4,76","54,60","63,90","18,55","66,43","21,96","21,18","4,71","29,41","74,12","4,79","15,26","1.206,79","5,99","1.206,79","0,67","4,79","0,00","0,00","17,69","53,62","20,15","99,21","3,41","1.671,00","87,12","0,60","264,67","5,98","0,36","0,12","81,89","105,30","19,63","25,15","13,76","-1,80","5,06","12,21","7,60","19,53","25,40","18,87",1,2,1,1,2
42,48091,Atxondo,11.76,"8,31","0,00","165,39","39,10","13,96","1,45","6,98","3,00","96,44","22,50","5,54","183,94","4,81","1,38","62,67","11,76","93,30","24,60","6,98","0,00","203,00","20,63","0,00","2,38","43,85","68,60","31,16","45,69","13,96","17,92","18,87","16,67","63,21","9,63","12,31","411,14","6,98","411,14","0,73","32,10","0,00","0,00","16,21","50,31","15,44","100,00","3,58","1.454,00","75,28","0,00","165,39","9,63","1,43","0,78","66,29","103,72","1,21","2,79","10,39","5,54","0,76","15,82","-0,41","15,74","12,46","22,22",2,1,2,2,1
43,48070,Aulesti,75.0,"5,87","0,00","286,76","53,50","14,71","10,52","88,24","3,00","98,90","0,00","-7,33","183,55","2,93","0,00","27,00","75,00","98,21","42,11","0,00","0,00","276,49","76,53","0,00","11,76","42,00","66,20","21,99","78,80","28,11","19,05","9,52","21,57","71,43","7,32","13,76","564,93","14,71","564,93","0,88","0,00","0,00","0,00","19,61","53,16","17,83","100,00","1,46","683,00","76,23","1,47","286,76","4,39","0,40","0,32","79,88","119,07","48,51","72,06","8,80","-7,33","16,26","25,21","5,56","22,99","25,14","10,42",1,1,2,2,1
44,1010,Ayala/Aiara,66.67,"13,95","0,00","327,91","40,70","0,00","0,00","0,00","2,00","100,00","0,00","3,22","220,10","2,17","1,09","19,62","66,67","98,03","27,93","3,54","0,00","341,19","18,98","78,38","3,57","46,62","73,70","38,64","57,44","16,54","20,12","23,08","39,93","56,80","3,98","16,25","-0,61","0,00","-0,61","0,88","37,14","21,22","31,04","20,24","60,06","20,72","99,51","1,30","2.763,00","83,16","0,35","327,91","3,62","0,92","1,03","52,67","127,89","3,31","15,21","14,31","3,22","9,97","19,22","36,04","9,46","22,99","4,21",1,2,2,2,2
45,20018,Azpeitia,88.89,"6,69","0,00","240,75","35,50","2,10","1,53","4,40","3,00","85,21","0,00","4,81","158,01","17,88","13,36","207,13","88,89","83,27","34,59","3,50","2,09","281,17","34,38","97,67","4,22","22,20","76,50","24,34","58,63","16,71","16,94","11,51","6,51","71,55","5,63","15,44","228,68","9,79","228,68","0,66","10,77","0,84","30,03","13,50","52,43","18,42","75,06","5,95","14.375,00","43,43","1,40","240,75","-1,11","2,83","0,45","65,17","104,38","11,45","15,73","13,11","4,81","8,67","13,39","6,01","21,01","11,73","7,50",2,2,1,1,2
46,1049,Añana,0.0,"45,45","0,00","491,43","61,90","0,00","0,00","0,00","1,00","98,08","0,00","-17,05","205,10","11,36","0,00","8,04","0,00","100,00","100,00","57,14","0,00","1.082,77","16,37","0,00","0,00","77,35","67,90","62,50","83,33","35,23","11,76","5,88","29,41","82,35","17,05","9,09","11,46","0,00","11,46","0,77","45,71","0,00","0,00","16,27","37,35","10,84","100,00","3,41","176,00","76,47","5,71","491,43","5,68","0,69","34,57","45,16","114,08","5,26","45,71","5,68","-17,05","7,65","22,79","-6,38","2,05","36,03","71,43",1,2,2,2,2
47,48012,Bakio,66.67,"3,76","0,00","445,34","34,80","8,10","3,01","2,02","2,00","98,90","0,00","2,93","226,84","7,78","3,46","137,68","66,67","88,78","78,64","4,05","4,32","312,27","51,00","69,57","3,30","74,44","69,80","67,31","48,75","16,08","21,67","5,42","11,00","72,91","16,00","13,36","280,96","8,10","280,96","0,68","40,49","0,00","120,10","12,48","69,96","35,16","93,87","4,80","2.313,00","81,08","4,86","445,34","3,46","3,89","0,83","63,45","86,53","10,72","28,34","9,20","2,93","12,04","20,30","45,75","5,68","9,41","16,76",1,1,2,2,1
48,20904,Baliarrain,50.0,"8,70","0,00","208,33","27,90","83,33","48,89","83,33","1,00","96,71","0,00","17,39","156,79","0,00","0,00","40,74","50,00","100,00","100,00","0,00","0,00","249,38","99,11","0,00","14,29","52,75","64,80","8,70","50,68","15,45","62,50","0,00","42,86","37,50","9,09","15,45","876,08","0,00","876,08","0,73","0,00","0,00","0,00","16,50","42,72","15,53","100,00","0,00","110,00","82,76","8,33","208,33","18,18","0,74","0,37","64,44","127,50","25,00","41,67","17,39","17,39","3,69","9,75","29,41","34,09","13,79","105,26",1,2,1,1,2
49,48090,Balmaseda,57.14,"2,46","34,94","98,29","40,70","1,36","3,22","2,31","3,00","100,00","0,00","-4,10","183,55","14,17","9,22","326,01","57,14","84,21","53,54","2,72","1,38","315,22","46,29","70,00","4,37","39,09","67,70","30,61","60,03","21,64","18,34","9,51","1,82","72,16","7,02","11,83","423,77","9,50","423,77","0,57","9,64","0,00","113,28","17,77","53,51","16,20","77,06","4,64","7.270,00","66,50","1,09","98,29","9,49","2,37","0,31","79,60","81,74","2,65","1,90","7,93","-4,10","13,80","20,49","2,31","14,32","19,49","7,90",1,1,2,2,1
50,48013,Barakaldo,41.67,"8,06","60,55","85,58","39,00","1,41","1,46","1,28","3,00","98,08","13,29","-0,37","183,02","14,03","9,17","4.051,85","41,67","76,37","41,38","3,22","0,51","421,98","86,42","84,00","3,11","37,68","68,40","56,40","54,38","20,89","19,74","4,02","0,40","76,24","6,86","10,82","-2,86","8,56","-2,86","0,49","9,15","0,89","41,48","15,77","53,29","17,94","71,87","4,96","98.460,00","71,49","1,26","85,58","6,78","24,47","2,80","34,90","72,87","12,28","7,35","9,68","-0,37","1,96","2,41","0,25","7,27","22,84","4,93",2,1,2,2,1
51,48014,Barrika,100.0,"14,31","0,00","24,88","40,40","20,17","3,16","0,67","3,00","98,90","0,00","-6,13","183,94","4,14","0,00","185,77","100,00","98,87","61,80","6,72","0,00","325,28","22,66","77,00","0,00","61,05","70,00","68,12","55,64","18,01","15,31","8,16","8,42","76,53","6,90","14,29","535,53","0,00","535,53","0,70","16,14","0,00","848,61","13,13","73,81","37,01","96,86","3,59","1.449,00","89,36","0,67","24,88","10,35","1,27","0,64","23,46","113,00","40,40","26,90","14,99","-6,13","8,94","12,02","31,01","11,25","21,61","18,02",2,1,2,2,1
52,1013,Barrundia,29.17,"26,88","0,00","396,70","39,30","0,00","0,00","0,00","2,00","99,73","0,00","5,60","329,84","0,00","0,00","8,97","29,17","99,35","62,50","0,00","0,00","301,44","9,56","100,00","0,00","48,36","75,50","47,03","52,71","15,89","18,97","18,97","47,32","62,07","6,86","15,54","329,14","0,00","329,14","0,83","37,36","0,00","229,17","22,29","60,90","21,79","90,28","4,34","875,00","82,48","0,00","396,70","-1,14","1,24","24,40","41,33","146,33","1,90","25,27","10,08","5,60","5,02","17,56","48,31","10,42","17,70","20,69",2,2,2,2,2
53,48015,Basauri,92.71,"4,61","60,37","111,47","40,40","2,59","1,94","0,00","3,00","98,08","4,45","-1,74","183,98","15,05","9,78","6.093,86","92,71","65,77","36,31","3,53","0,70","335,53","76,71","97,41","3,16","20,96","68,40","37,34","57,57","22,08","18,88","5,70","0,30","75,42","6,63","11,09","-0,33","8,72","-0,33","0,53","1,37","1,06","23,35","11,57","54,03","21,56","78,92","3,31","42.657,00","71,31","1,46","111,47","2,60","41,64","3,29","12,14","73,25","14,92","10,25","7,97","-1,74","1,86","5,06","-10,34","8,14","19,28","3,96",2,1,2,2,1
54,1011,Baños de Ebro/Mañueta,66.67,"0,00","0,00","577,51","48,30","0,00","0,00","0,00","2,00","99,73","0,00","0,00","334,39","12,01","3,00","35,05","66,67","100,00","100,00","0,00","0,00","462,00","7,81","0,00","0,00","63,25","64,40","33,23","78,07","27,03","8,06","72,58","39,08","19,35","12,01","13,21","181,84","30,40","181,84","0,83","0,00","0,00","0,00","7,87","36,07","8,52","100,00","11,11","333,00","44,44","3,04","577,51","-6,01","2,12","59,05","5,68","120,43","1,99","12,16","9,06","0,00","14,80","38,02","0,00","11,27","26,54","47,62",1,2,2,2,2
55,20019,Beasain,44.44,"8,81","33,19","131,21","38,50","1,46","2,16","1,39","3,00","96,71","15,61","7,56","157,28","16,30","12,10","451,90","44,44","75,58","28,19","2,19","3,69","283,75","38,44","89,19","4,85","20,50","73,60","46,11","55,17","16,24","23,70","6,04","2,80","70,26","7,08","14,89","412,63","10,23","412,63","0,59","7,53","0,00","32,71","18,35","58,19","20,87","82,28","9,46","13.557,00","62,69","0,80","131,21","1,03","3,71","0,93","73,37","85,35","6,92","5,63","14,83","7,56","1,99","8,75","11,39","12,51","19,84","4,71",2,2,1,1,2
56,48092,Bedia,60.0,"10,37","0,00","232,92","57,00","0,00","7,91","5,18","3,00","96,44","0,00","-6,22","183,82","6,24","6,24","58,30","60,00","99,03","26,97","10,35","0,00","285,83","47,19","0,00","6,90","31,88","65,80","36,31","64,16","21,00","15,49","30,28","8,33","54,23","6,24","12,89","240,55","10,35","240,55","1,80","0,00","0,00","0,00","15,93","51,75","18,76","98,72","3,74","962,00","80,68","1,04","232,92","1,04","1,42","0,12","79,27","94,63","7,26","17,60","9,34","-6,22","0,67","1,92","-2,24","17,00","40,30","15,27",1,1,2,2,1
57,20020,Beizama,0.0,"21,98","0,00","87,43","40,50","109,29","0,00","0,00","1,00","85,21","0,00","5,49","129,43","5,56","5,56","10,71","0,00","100,00","66,67","0,00","0,00","557,12","119,25","0,00","33,33","28,80","59,10","10,99","73,08","21,11","16,67","22,22","48,39","61,11","11,11","17,78","582,85","0,00","582,85","0,97","0,00","0,00","0,00","15,34","49,08","17,79","100,00","0,56","180,00","85,96","0,00","87,43","11,11","0,15","0,48","72,50","176,32","7,69","10,93","16,48","5,49","9,43","12,45","11,80","46,34","12,87","33,33",1,2,1,1,2
58,20021,Belauntza,50.0,"10,20","0,00","141,89","41,20","0,00","12,50","0,00","1,00","96,71","0,00","13,61","163,06","6,85","6,85","85,88","50,00","100,00","31,71","0,00","0,00","258,27","79,63","0,00","0,00","52,75","61,80","51,02","46,73","16,10","14,08","35,21","12,68","50,70","10,27","14,04","201,13","0,00","201,13","1,24","0,00","0,00","0,00","19,47","48,09","15,65","100,00","5,14","292,00","86,86","3,38","141,89","3,42","7,47","0,00","62,06","119,39","3,94","33,78","13,61","13,61","3,11","3,37","-9,32","27,48","24,81","22,73",1,2,1,1,2
59,48016,Berango,88.89,"3,75","0,00","211,91","30,00","0,00","1,33","3,11","3,00","98,08","59,58","9,15","184,95","3,64","2,13","748,64","88,89","89,85","42,58","2,96","0,00","231,87","26,03","75,00","2,92","50,48","77,60","54,14","49,42","12,16","16,87","7,47","3,07","75,66","4,10","17,08","272,69","7,41","272,69","0,64","0,00","0,00","43,53","13,57","70,46","34,54","99,40","5,01","6.588,00","87,85","0,59","211,91","4,40","6,55","5,34","32,05","99,97","7,29","6,22","13,35","9,15","7,18","9,31","36,60","10,75","11,34","5,05",2,1,2,2,1
60,1014,Berantevilla,25.0,"25,59","0,00","420,84","44,90","0,00","0,00","0,00","1,00","98,08","0,00","-4,26","154,37","4,57","2,28","12,27","25,00","99,48","15,56","0,00","0,00","346,47","10,11","0,00","12,50","55,94","65,80","21,32","62,22","25,11","10,53","42,11","37,65","47,37","6,85","11,19","629,01","20,04","629,01","1,35","0,00","0,00","0,00","14,47","49,89","19,65","100,00","4,11","438,00","67,38","0,00","420,84","11,42","1,13","72,41","16,69","108,83","14,14","114,23","6,40","-4,26","2,78","22,49","3,79","9,58","21,53","42,86",1,2,2,2,2
61,20022,Berastegi,50.0,"31,67","0,00","203,62","36,20","0,00","1,84","0,00","2,00","96,71","0,00","0,00","155,12","3,87","0,00","22,51","50,00","99,16","36,69","9,51","0,00","222,35","47,39","20,00","6,82","65,80","65,60","9,60","63,71","16,36","34,72","8,33","34,09","56,94","4,84","18,01","279,43","9,51","279,43","0,84","19,03","0,00","29,07","13,28","44,61","12,95","97,18","0,77","1.033,00","81,25","0,00","203,62","0,97","0,42","0,17","74,16","136,76","2,58","4,76","5,76","0,00","1,61","7,72","6,28","31,19","15,23","5,43",2,2,1,1,2
62,20074,Bergara,35.0,"10,56","0,00","190,54","38,50","2,05","2,15","11,27","3,00","96,44","5,24","0,41","156,80","16,25","11,70","190,75","35,00","85,77","33,82","3,42","1,36","374,01","100,34","96,64","5,73","36,40","74,10","33,06","59,46","20,25","12,40","13,92","8,13","73,68","5,44","12,95","221,23","9,56","221,23","0,64","7,52","0,68","35,89","20,02","59,55","19,78","61,66","5,23","14.707,00","51,77","1,02","190,54","2,79","1,76","0,40","71,37","90,96","7,61","7,04","10,22","0,41","6,96","6,45","-2,87","10,77","15,41","9,76",2,2,1,1,2
63,48017,Bermeo,45.0,"3,24","8,21","9,98","46,80","2,94","2,74","0,88","3,00","98,90","0,00","-0,59","105,63","16,35","10,75","496,69","45,00","76,64","50,64","3,52","0,59","398,95","96,91","100,00","4,56","36,62","66,00","28,44","58,54","20,28","25,02","6,14","7,48","68,84","5,31","12,68","51,31","7,64","51,31","0,51","8,52","0,00","21,78","15,32","52,60","17,80","78,68","5,66","16.937,00","51,11","1,53","9,98","9,21","2,67","0,26","58,74","88,85","18,04","9,63","9,30","-0,59","14,63","23,16","-0,44","12,14","26,32","2,70",2,1,2,2,1
64,1016,Bernedo,26.32,"8,70","0,00","469,57","47,10","0,00","0,00","0,00","3,00","98,08","0,00","1,74","47,68","8,70","1,74","4,41","26,32","99,71","10,98","17,39","0,00","544,18","7,14","94,74","12,50","54,71","69,00","45,22","66,18","28,17","14,58","6,25","44,59","79,17","15,65","8,87","-1,34","17,39","-1,34","0,88","106,09","0,00","246,75","15,33","43,36","13,27","100,00","6,78","575,00","59,00","1,74","469,57","5,22","0,64","19,16","58,17","110,89","2,40","34,78","8,70","1,74","19,84","29,77","5,70","17,05","23,48","63,49",2,2,2,2,2
65,48018,Berriatua,75.0,"24,67","0,00","313,86","36,00","7,79","4,97","0,00","2,00","98,90","0,00","0,77","184,98","6,11","3,82","72,72","75,00","96,12","19,11","0,00","0,00","299,13","54,24","0,00","3,45","40,00","67,80","29,30","46,75","16,73","16,81","28,57","20,44","54,62","9,17","12,30","168,17","7,79","168,17","0,81","25,70","0,00","0,00","12,46","46,78","18,38","96,51","14,97","1.309,00","69,29","0,00","313,86","6,11","1,77","0,72","76,28","117,56","4,40","10,90","11,57","0,77","8,71","27,30","39,26","21,91","13,89","5,95",2,1,2,2,1
66,48019,Berriz,60.0,"5,53","0,00","77,84","32,30","0,00","3,74","0,00","3,00","96,44","0,00","6,14","95,05","7,98","4,30","162,39","60,00","84,15","30,31","2,05","2,05","276,91","74,31","0,00","2,53","43,85","69,80","30,50","53,28","16,47","11,55","29,48","5,11","58,97","4,71","14,81","546,74","10,24","546,74","0,65","2,87","0,00","0,00","17,55","53,56","17,38","94,61","5,75","4.888,00","74,20","0,41","77,84","0,00","1,76","0,86","60,60","100,40","29,62","32,16","13,31","6,14","0,56","14,06","18,55","13,71","7,00","14,67",2,1,2,2,1
67,20023,Berrobi,0.0,"5,10","0,00","218,75","45,90","17,36","5,37","0,00","3,00","96,71","0,00","3,40","159,19","6,67","0,00","222,22","0,00","95,16","32,68","17,36","0,00","274,25","49,56","0,00","10,53","28,17","66,40","20,41","64,38","19,17","34,48","13,79","33,33","51,72","1,67","14,50","-307,18","0,00","-307,18","0,68","0,00","0,00","0,00","13,51","44,98","14,29","83,33","5,33","600,00","87,61","1,74","218,75","-5,00","2,74","0,37","54,44","103,09","29,73","38,19","13,61","3,40","3,93","4,19","8,89","14,67","18,82","23,81",1,2,1,1,2
68,20024,Bidania-Goiatz,66.67,"7,68","0,00","312,62","36,70","18,83","10,82","0,00","3,00","96,70","0,00","0,00","190,27","3,92","3,92","37,23","66,67","97,99","52,63","0,00","0,00","452,05","107,16","0,00","4,55","47,61","64,80","21,11","66,12","18,82","16,67","11,11","38,60","72,22","9,80","17,06","143,70","18,83","143,70","0,76","90,40","0,00","0,00","12,17","49,13","13,70","100,00","4,90","510,00","76,07","1,88","312,62","13,73","0,84","0,07","57,66","204,58","17,39","37,66","11,52","0,00","5,82","8,84","21,43","18,01","16,44","21,28",1,2,1,1,2
69,48020,Bilbao,42.39,"5,80","13,13","5,27","46,10","1,08","1,07","0,71","3,00","98,08","10,78","-1,66","183,43","16,28","11,25","8.592,25","42,39","50,17","38,98","4,22","0,28","511,69","73,82","85,54","2,83","37,68","70,80","61,19","59,50","21,61","12,54","3,91","0,19","83,55","7,93","11,75","361,41","10,53","361,41","0,51","18,82","0,63","40,76","12,70","62,87","27,23","38,75","7,88","354.860,00","41,01","2,05","5,27","10,13","31,85","2,06","17,22","82,05","13,30","4,95","8,49","-1,66","2,37","5,44","-0,76","8,18","28,32","2,99",2,1,2,2,1
70,48021,Busturia,75.0,"3,42","0,00","147,56","46,50","0,00","7,70","0,00","2,00","98,90","0,00","-8,55","169,87","2,86","2,29","89,08","75,00","96,34","50,39","5,68","0,00","516,20","42,45","93,80","4,26","67,40","62,20","43,33","55,89","22,05","18,00","6,00","7,29","76,00","9,16","11,34","174,71","5,68","174,71","0,64","38,02","0,00","329,92","14,46","61,64","27,68","98,39","2,92","1.746,00","84,31","0,00","147,56","8,02","2,27","0,51","67,70","105,63","59,55","150,40","8,55","-8,55","13,96","18,98","5,56","11,62","24,31","28,57",2,1,2,2,1
71,1017,Campezo/Kanpezu,100.0,"25,85","0,00","324,16","40,10","0,00","7,05","133,21","3,00","98,08","0,00","-8,91","248,04","6,26","1,79","13,15","100,00","98,84","47,44","8,88","8,94","518,71","8,96","92,86","7,69","53,89","67,40","12,48","64,41","24,87","19,63","10,28","21,95","70,09","11,63","11,00","221,21","35,52","221,21","0,81","22,20","0,00","50,72","14,69","46,95","14,12","95,65","7,78","1.118,00","64,66","0,89","324,16","5,37","0,55","29,75","63,08","103,18","3,66","15,10","4,46","-8,91","15,62","27,93","5,27","17,07","18,13","32,26",2,2,2,2,2
72,20029,Deba,100.0,"35,95","64,72","185,74","37,50","7,43","4,68","0,00","3,00","98,90","0,00","0,56","156,99","14,05","9,06","104,20","100,00","85,82","32,16","3,71","5,55","247,53","53,76","0,00","4,76","30,70","70,50","56,71","55,27","16,94","8,61","20,35","14,83","71,04","10,72","14,09","225,25","9,29","225,25","0,66","104,57","0,00","0,00","18,24","60,43","22,12","97,17","4,18","5.408,00","63,98","1,67","185,74","5,92","2,16","0,46","51,54","94,60","4,02","8,36","9,64","0,56","0,42","5,80","6,25","4,10","14,25","3,94",2,2,1,1,2
73,48901,Derio,64.29,"8,99","24,50","312,73","30,60","3,72","2,08","2,23","3,00","98,08","33,85","4,12","196,24","13,94","8,67","639,40","64,29","80,48","17,66","3,72","1,88","287,05","37,95","92,17","5,32","25,22","70,70","41,57","57,43","19,03","14,63","8,99","1,78","76,38","10,36","14,00","524,04","16,75","524,04","0,73","42,26","0,00","159,77","18,59","55,34","17,13","82,92","3,58","5.307,00","78,33","0,56","312,73","7,73","24,66","4,58","48,67","82,42","8,79","33,51","11,99","4,12","1,54","7,23","15,14","8,88","6,10","5,18",2,1,2,2,1
74,48026,Dima,57.14,"7,64","0,00","319,88","65,50","7,62","0,00","18,28","3,00","96,44","0,00","1,53","183,68","3,07","0,00","21,12","57,14","99,81","64,04","7,62","0,00","424,56","42,01","91,46","9,38","45,57","69,10","32,85","62,11","20,31","18,56","9,28","13,89","72,16","10,73","14,33","101,77","7,62","101,77","0,73","22,85","0,00","316,60","19,20","60,49","23,96","100,00","2,15","1.305,00","84,99","0,76","319,88","6,13","0,61","0,66","71,12","114,48","2,66","7,62","8,40","1,53","3,89","10,03","23,81","18,76","43,01","5,13",1,1,2,2,1
75,20069,Donostia / San Sebastián,46.07,"12,05","29,00","153,63","45,00","1,35","2,06","1,83","3,00","99,73","6,87","-1,75","193,53","17,04","12,41","3.013,93","46,07","63,81","39,55","4,58","0,81","401,06","61,16","94,01","4,64","34,50","74,10","36,39","58,69","20,38","13,48","3,34","0,51","83,19","7,40","12,59","433,94","10,40","433,94","0,60","29,89","2,39","62,00","13,38","68,98","32,18","33,68","6,48","185.357,00","34,60","1,90","153,63","-0,09","17,58","1,97","31,54","85,80","59,94","34,93","8,07","-1,75","3,27","5,20","3,43","8,22","29,21","5,73",2,2,1,1,2
76,48027,Durango,62.96,"4,92","28,34","90,58","33,00","1,06","1,54","2,12","3,00","96,44","4,88","2,55","186,17","15,69","10,98","2.635,76","62,96","45,73","44,55","3,54","0,00","273,42","62,96","95,00","4,65","47,15","77,30","36,82","55,18","16,17","12,98","4,06","0,98","82,95","5,46","15,27","224,50","12,03","224,50","0,52","7,64","0,00","38,49","17,91","62,96","24,80","70,07","6,95","28.229,00","69,69","1,38","90,58","4,57","21,59","1,31","57,14","88,91","10,60","8,67","10,20","2,55","1,14","11,50","15,15","12,80","16,93","2,08",2,1,2,2,1
77,48028,Ea,0.0,"4,44","0,00","241,92","59,90","22,30","0,00","0,00","3,00","98,90","0,00","-12,21","170,77","5,52","0,00","63,73","0,00","98,88","58,91","11,15","0,00","290,40","40,90","85,00","4,55","42,00","60,70","25,53","61,03","24,97","27,08","4,17","13,79","68,75","11,05","9,61","735,09","11,15","735,09","0,64","39,02","0,00","90,91","14,05","62,93","30,58","100,00","1,88","905,00","80,11","0,00","241,92","8,84","0,29","0,00","68,59","96,07","607,32","277,59","5,55","-12,21","18,56","23,58","10,64","6,75","30,13","46,51",1,1,2,2,1
78,20030,Eibar,100.0,"10,47","20,06","227,88","48,40","1,10","1,94","0,00","3,00","96,44","0,00","-1,09","156,95","16,08","11,23","1.224,06","100,00","55,21","45,55","4,02","1,09","402,75","45,05","97,40","3,12","57,60","69,90","38,65","62,57","23,18","12,28","10,91","1,60","76,82","5,94","11,59","235,25","9,86","235,25","0,53","6,39","0,51","39,84","17,52","55,67","18,98","62,29","5,28","27.419,00","56,30","1,64","227,88","2,88","7,49","0,04","73,88","78,08","3,40","2,08","7,96","-1,09","1,83","9,31","-6,54","11,19","44,23","4,36",2,2,1,1,2
79,48031,Elantxobe,66.67,"4,55","0,00","346,24","41,90","22,78","0,00","0,00","3,00","98,90","0,00","0,00","136,39","9,07","0,00","232,11","66,67","97,32","62,50","22,78","0,00","308,06","47,67","0,00","0,00","59,44","59,70","36,36","60,95","28,34","9,52","0,00","11,54","90,48","15,87","6,80","121,82","22,78","121,82","0,46","93,39","0,00","0,00","19,14","60,77","23,21","100,00","4,54","441,00","85,92","0,00","346,24","-2,27","2,21","0,00","71,05","82,19","23,81","22,78","4,55","0,00","16,66","21,68","-6,17","2,77","14,92","33,33",1,1,2,2,1
80,1021,Elburgo/Burgelu,50.0,"60,18","0,00","203,74","22,80","0,00","0,00","16,98","2,00","99,73","0,00","5,31","153,42","3,70","5,55","16,85","50,00","99,21","62,28","0,00","18,48","300,46","17,86","100,00","0,00","32,26","72,40","28,32","41,99","8,50","23,81","16,67","33,93","59,52","7,39","17,38","1.197,05","0,00","1.197,05","0,98","203,74","0,00","387,76","21,95","68,51","23,85","90,74","4,81","541,00","84,88","0,00","203,74","5,55","1,71","54,42","22,93","181,48","5,28","49,24","8,85","5,31","3,15","12,97","101,12","5,70","10,70","48,54",2,2,2,2,2
81,1022,Elciego,87.5,"5,72","0,00","558,52","40,70","0,00","2,65","0,00","2,00","99,73","0,00","4,77","319,90","8,60","2,87","64,17","87,50","97,85","33,09","9,51","0,00","505,72","15,01","0,00","3,70","22,19","65,30","27,65","55,19","22,37","14,14","36,36","35,71","49,49","10,52","10,71","-68,16","28,54","-68,16","0,65","123,69","0,00","0,00","12,59","50,67","17,13","100,00","7,55","1.046,00","46,06","0,95","558,52","8,60","2,85","72,33","6,99","108,79","3,23","14,27","16,21","4,77","15,09","38,41","15,58","12,56","23,99","16,39",1,2,2,2,2
82,20031,Elduain,100.0,"54,85","0,00","255,32","65,10","0,00","8,40","191,49","3,00","96,71","0,00","-4,22","158,77","0,00","0,00","9,48","100,00","100,00","32,56","0,00","0,00","261,86","79,50","0,00","7,14","28,07","63,90","29,54","68,79","19,33","4,55","36,36","15,00","59,09","4,20","18,07","7,49","0,00","7,49","0,90","0,00","0,00","0,00","20,71","46,97","13,13","90,91","1,26","238,00","87,38","0,00","255,32","4,20","0,70","0,04","90,72","121,58","5,68","42,55","12,66","-4,22","4,13","6,24","23,96","27,78","40,00","22,73",2,2,1,1,2
83,20033,Elgeta,100.0,"12,10","0,00","237,26","30,40","9,27","10,57","83,41","3,00","96,44","0,00","-0,93","155,09","7,48","2,81","63,25","100,00","85,88","29,01","9,27","0,00","345,78","75,24","0,00","8,82","31,80","69,10","35,38","55,15","18,15","4,92","33,61","4,46","61,48","10,29","13,10","16,04","9,27","16,04","0,79","33,36","0,00","0,00","20,37","58,85","19,96","100,00","5,14","1.069,00","74,06","0,93","237,26","2,81","1,40","0,06","83,91","103,26","9,75","21,32","7,45","-0,93","4,20","9,46","9,87","20,49","10,95","21,90",1,2,1,1,2
84,20032,Elgoibar,70.0,"11,62","35,65","212,65","35,00","5,30","2,64","2,21","3,00","98,90","33,49","4,17","156,68","14,71","9,45","286,22","70,00","71,20","32,31","3,53","0,89","282,58","37,77","100,00","5,39","42,00","71,50","23,86","58,92","20,65","12,58","19,62","5,24","67,79","5,70","12,90","337,65","8,83","337,65","0,61","3,53","0,26","20,41","20,05","56,02","18,45","70,46","5,79","11.220,00","52,13","1,24","212,65","9,00","2,44","0,15","68,42","87,91","16,86","14,22","12,95","4,17","0,67","4,18","4,37","13,76","23,62","6,46",2,2,1,1,2
85,48032,Elorrio,28.57,"2,62","74,72","104,25","37,80","2,76","2,93","0,41","3,00","96,44","4,84","-1,66","183,99","10,24","6,37","194,27","28,57","96,84","22,44","2,76","1,38","330,76","35,80","92,93","5,61","33,27","71,80","15,19","60,14","20,24","15,90","16,32","6,12","67,78","5,67","13,55","322,10","8,27","322,10","0,62","12,82","4,83","43,21","17,23","54,51","19,76","92,57","3,21","7.227,00","57,35","0,83","104,25","4,15","2,00","2,85","70,46","109,90","2,55","2,62","9,53","-1,66","1,18","18,21","-0,08","10,00","13,28","3,00",2,1,2,2,1
