,Municipio,latitud,longitud,Prediccion,part_pred_2019
116,Hernani,43.2661645,-1.9749167,2,64
117,Hernialde,43.154494799999995,-2.085194,1,77
118,Hondarribia,43.36244979999999,-1.7914288,2,63
119,Ibarra,43.1316471,-2.0622574,2,66
120,Ibarrangelu,43.3896126,-2.6311482,1,77
121,Idiazabal,43.0106787,-2.2336127999999995,2,71
122,Igorre,43.1642445,-2.7783435,2,71
123,Ikaztegieta,43.0945249,-2.1242678,1,80
124,Irun,43.3383176,-1.7888095000000002,2,60
125,Irura,43.1675342,-2.0672224,2,71
126,Iruraiz-Gauna,42.8309221,-2.4296269,1,70
127,Iruña Oka/Iruña de Oca,42.8246442,-2.8206006,2,69
128,Ispaster,43.3565296,-2.5531077,1,83
129,Itsasondo,43.067826600000004,-2.1672356,1,79
130,Iurreta,43.17631779999999,-2.6338582,2,66
131,Izurtza,43.1541734,-2.6399182999999997,1,81
132,Karrantza Harana/Valle de Carranza,43.238893299999994,-3.3577112000000002,2,77
133,Kortezubi,43.34088320000001,-2.6554179,1,79
134,Kripan,42.5919931,-2.5153877999999996,1,80
135,Kuartango,42.8863726,-2.9401422999999998,1,74
136,Labastida/Bastida,42.5903817,-2.7928697999999996,1,76
137,Lagrán,42.6255515,-2.5836433,1,83
138,Lanciego/Lantziego,42.56276810000001,-2.5126326,1,81
139,Lanestosa,43.2184716,-3.4391344,1,80
140,Lantarón,42.747825899999995,-2.9942273999999998,1,70
141,Lapuebla de Labarca,42.4934805,-2.5755974,1,81
142,Larrabetzu,43.2612471,-2.7959022,2,71
143,Larraul,43.1879341,-2.1023955,1,80
144,Lasarte-Oria,43.268464200000004,-2.0193784,2,62
145,Laudio/Llodio,43.143069200000006,-2.9624876,2,65
146,Laukiz,43.3521341,-2.9073702,1,77
147,Lazkao,43.0334542,-2.1861651,2,67
148,Leaburu,43.124681200000005,-2.052317,1,82
149,Legazpi,43.051235,-2.3344403,2,65
150,Legorreta,43.0848925,-2.1486222,2,77
151,Legutio,42.979158700000006,-2.6426345,2,68
152,Leintz-Gatzaga,42.9868906,-2.5687408,1,65
153,Leioa,43.327104799999994,-2.9846079,2,60
154,Lekeitio,43.363708100000004,-2.5059965,2,73
155,Lemoa,43.209877500000005,-2.7788097,2,66
156,Lemoiz,43.4120254,-2.9026473,1,74
157,Leza,42.56555529999999,-2.6342866000000003,1,77
158,Lezama,43.274324799999995,-2.8329246,2,73
159,Lezo,43.32123920000001,-1.8996137999999998,2,61
160,Lizartza,43.1033934,-2.0344740000000003,1,80
161,Loiu,43.3147645,-2.9388878,2,71
162,Mallabia,43.1895207,-2.5298369,1,76
163,Markina-Xemein,43.2675586,-2.4974863999999997,2,71
164,Maruri-Jatabe,43.380179999999996,-2.866926,1,79
165,Mañaria,43.1383492,-2.6608199,1,79
166,Mendaro,43.252500399999995,-2.3858392000000004,2,67
167,Mendata,43.281195700000005,-2.6437276,1,86
168,Mendexa,43.346569200000005,-2.4867026,1,84
169,Meñaka,43.3627405,-2.8023477000000003,1,76
170,Moreda de Álava / Moreda Araba,42.5271966,-2.4163449,1,81
171,Morga,43.3000301,-2.752374,1,82
172,Mundaka,43.407824,-2.6992833,2,78
173,Mungia,43.35406629999999,-2.8464157,2,68
174,Munitibar-Arbatzegi Gerrikaitz-,43.2658092,-2.5926035,1,80
175,Murueta,43.3514766,-2.6811762999999997,1,86
176,Muskiz,43.3230375,-3.1243029,2,66
177,Mutiloa,43.0220391,-2.2727507,1,80
178,Mutriku,43.307118100000004,-2.3871097999999997,2,67
179,Muxika,43.2896199,-2.6891984,2,75
