,2009_1,2013_2,2009_3,2009_4,2013_5,2009_6,2013_7,2009_8,2013_9,2013_10,2013_11,2013_12,2014_13,2013_14,2013_15,2013_16,2009_17,2001,2013_19,2014_20,2013_21,2005_22,2005_23,2011_24,2013_25,2005_26,2011_27,2013_28,2013_29,2013_30,2013_31,2013_32,2013_33,2013_34,2013_35,2013_36,2013_37,2013_38,2013_39,2013_40,2010_41,2011_42,2011_43,2013_44,2013_45,2013_46,2011_47,2013_48,2013_49,2011_50,2013_51,2009_52,2013_53,2013_54,2005_55,2010_56,2013_57,2009_58,2009_59,2013_60,2013_61,2006,2007,2013_64,2011,2013,2009_67
70,75.0,6.45,0.0,147.56,48.6,0.0,8.49,0.0,3.0,100.0,0.0,-7.04,122.02,1.76,1.17,86.94,75.0,96.34,46.39,5.93,0.0,516.2,42.45,96.12,3.57,67.4,62.2,36.36,66.54,23.82,9.38,6.25,13.54,70.83,9.38,13.28,29.76,5.91,29.76,0.68,37.73,0.0,313.11,15.63,62.08,26.68,98.39,2.91,1717.0,84.31,0.0,147.56,-2.35,2.44,0.51,69.8,105.8,59.55,150.4,8.21,-7.04,13.96,18.98,3.12,12.89,28.3,28.57
71,100.0,14.47,0.0,324.16,41.2,0.0,7.01,133.21,3.0,98.36,0.0,-11.75,280.28,4.52,0.9,13.17,100.0,98.84,62.09,9.35,8.87,518.71,8.96,100.0,5.13,53.89,67.4,18.08,68.46,24.05,13.71,8.06,26.61,51.61,11.75,13.31,-311.12,36.9,-311.12,0.84,22.26,0.0,50.36,17.2,48.58,13.39,95.65,8.78,1127.0,64.66,0.0,324.16,-7.23,0.63,29.75,62.94,104.8,3.66,15.1,8.14,-11.75,15.62,27.93,6.02,17.47,19.32,32.26
72,100.0,26.3,64.72,185.74,39.2,7.43,5.15,0.0,3.0,100.0,0.0,1.47,154.52,11.4,6.62,108.03,100.0,85.82,39.98,3.66,1.84,247.53,53.76,0.0,4.73,30.7,70.5,35.87,61.72,18.99,6.04,16.98,16.98,60.0,9.56,14.77,-21.24,9.17,-21.24,0.66,105.35,0.0,0.0,19.29,62.47,23.86,97.17,5.25,5424.0,63.98,0.92,185.74,2.76,2.21,0.46,52.39,93.9,4.02,8.36,9.93,1.47,0.42,5.8,2.82,9.04,17.51,3.94
73,64.29,14.96,24.5,312.73,29.0,3.72,2.08,2.23,3.0,99.45,32.19,6.8,184.32,11.56,7.82,574.75,64.29,80.48,15.0,3.32,1.72,287.05,37.95,65.47,4.61,25.22,70.7,38.58,62.61,19.23,12.18,10.69,1.72,75.4,8.16,16.16,-174.03,10.1,-174.03,0.74,81.35,0.0,127.41,20.39,59.5,20.2,82.92,3.96,5828.0,78.33,1.01,312.73,-2.72,20.44,4.58,39.4,85.6,8.79,33.51,14.28,6.8,1.54,7.23,18.1,12.05,5.17,5.18
74,57.14,4.26,0.0,319.88,63.0,7.62,0.0,18.28,3.0,98.9,0.0,3.55,175.19,4.26,1.42,22.53,57.14,99.81,47.59,7.02,0.0,424.56,42.01,98.78,5.66,45.57,69.1,26.95,62.5,18.59,17.53,11.34,15.46,55.67,8.51,15.95,103.06,7.06,103.06,0.76,22.12,0.0,314.18,22.63,65.33,26.08,100.0,2.07,1404.0,84.99,0.0,319.88,-2.13,0.41,0.66,69.09,117.6,2.66,7.62,14.18,3.55,3.89,10.03,30.12,17.88,42.34,5.13
75,46.07,9.66,29.0,153.63,46.0,1.35,4.35,1.83,3.0,100.0,13.33,-2.24,191.96,15.02,10.77,3057.0,46.07,63.81,37.74,4.62,0.7,401.06,61.16,94.77,5.08,34.5,74.1,32.08,63.11,21.73,10.02,3.23,0.61,86.15,7.14,12.77,103.37,9.08,103.37,0.63,30.89,2.54,57.71,14.44,71.21,33.26,33.68,7.07,186500.0,34.6,1.96,153.63,0.08,21.84,1.97,31.51,85.0,59.94,34.93,7.65,-2.24,3.27,5.2,2.58,13.22,31.59,5.73
76,62.96,5.18,28.34,90.58,33.5,1.06,2.25,2.12,3.0,98.9,10.32,2.54,177.9,14.96,10.23,2676.0,62.96,45.73,45.6,3.46,0.0,273.42,62.96,95.16,5.21,47.15,77.3,34.23,59.25,17.15,10.56,3.89,1.06,84.49,5.08,15.68,49.03,7.98,49.03,0.54,7.65,0.21,37.33,19.26,65.18,25.53,70.07,7.63,28691.0,69.69,1.7,90.58,-3.06,17.48,1.31,57.24,87.8,10.6,8.67,9.46,2.54,1.14,11.5,11.49,11.99,16.99,2.08
77,0.0,1.16,0.0,241.92,61.5,22.3,0.11,0.0,2.0,100.0,0.0,0.0,119.97,6.94,1.16,61.89,0.0,98.88,64.67,11.85,0.0,290.4,40.9,71.43,7.14,42.0,60.7,13.87,63.02,26.62,19.64,3.57,14.29,62.5,12.72,9.49,88.0,11.56,88.0,0.78,39.06,0.0,93.75,14.11,61.88,30.2,100.0,3.7,864.0,80.11,0.0,241.92,-1.16,1.03,0.0,69.58,95.7,607.32,277.59,9.25,0.0,18.56,23.58,8.54,13.85,30.19,46.51
78,100.0,9.55,20.06,227.88,49.3,1.1,2.52,0.0,3.0,98.9,9.13,-1.86,155.26,13.52,9.04,1109.0,100.0,55.21,45.02,4.01,1.46,402.75,45.05,89.06,3.54,57.6,69.9,39.76,67.89,23.9,9.39,9.44,2.16,79.02,5.58,12.83,90.53,8.02,90.53,0.54,6.39,0.51,36.95,18.6,57.51,19.72,62.29,6.89,27439.0,56.3,1.57,227.88,5.76,5.66,0.04,72.95,77.4,3.4,2.08,8.49,-1.86,1.83,9.31,-2.64,13.84,48.7,4.36
79,66.67,2.55,0.0,346.24,44.4,22.78,2.61,0.0,3.0,100.0,0.0,-17.86,121.44,10.2,0.0,214.75,66.67,97.32,100.0,26.04,0.0,308.06,47.67,0.0,0.0,59.44,59.7,25.51,70.13,32.32,4.76,4.76,4.76,85.71,17.86,7.38,45.07,25.58,45.07,0.53,96.93,0.0,0.0,19.89,62.9,26.34,100.0,0.76,393.0,85.92,0.0,346.24,2.55,1.64,0.0,80.53,80.7,23.81,22.78,2.55,-17.86,16.66,21.68,-14.57,24.15,16.48,33.33
80,50.0,22.54,0.0,203.74,23.7,0.0,0.0,16.98,3.0,100.0,0.0,-1.61,218.49,1.61,3.22,19.4,50.0,99.21,43.79,0.0,16.21,300.46,17.86,84.21,0.0,32.26,72.4,40.26,43.49,8.59,9.62,11.54,32.69,46.15,4.83,17.67,-51.67,0.0,-51.67,0.98,192.62,0.0,358.49,23.13,72.17,24.87,90.74,4.21,617.0,84.88,0.0,203.74,-1.61,1.97,54.42,22.24,180.1,5.28,49.24,8.05,-1.61,3.15,12.97,41.84,8.05,9.06,48.54
81,87.5,3.81,0.0,558.52,39.8,0.0,2.72,0.0,3.0,100.0,0.0,-6.67,305.33,11.43,2.86,64.43,87.5,97.85,41.97,9.51,0.0,505.72,15.01,0.0,7.32,22.19,65.3,24.76,66.14,23.06,6.88,17.5,40.62,35.0,14.29,13.68,33.14,28.46,33.14,0.75,124.4,0.0,0.0,12.18,52.42,18.07,100.0,6.51,1045.0,46.06,0.0,558.52,20.95,4.47,72.33,6.87,113.9,3.23,14.27,8.57,-6.67,15.09,38.41,10.82,18.03,24.27,16.39
82,100.0,87.87,0.0,255.32,67.3,0.0,9.41,191.49,3.0,99.18,0.0,0.0,157.24,0.0,0.0,9.55,100.0,100.0,32.5,0.0,0.0,261.86,79.5,0.0,6.67,28.07,63.9,50.21,79.7,19.25,4.35,13.04,26.09,56.52,4.18,23.01,42.54,0.0,42.54,0.87,0.0,0.0,0.0,21.61,50.25,15.58,90.91,0.42,239.0,87.38,0.0,255.32,-8.37,0.69,0.04,90.6,120.2,5.68,42.55,4.18,0.0,4.13,6.24,11.68,22.66,40.48,22.73
83,100.0,12.39,0.0,237.26,30.5,9.27,10.71,83.41,3.0,98.9,0.0,7.08,156.87,7.08,2.65,65.88,100.0,85.88,29.99,8.96,0.0,345.78,75.24,0.0,4.44,31.8,69.1,31.86,60.2,18.0,1.9,31.43,5.71,60.95,7.96,14.66,335.7,8.92,335.7,0.81,32.55,0.0,14.78,21.64,62.53,22.65,100.0,6.58,1139.0,74.06,0.0,237.26,-12.39,1.97,0.06,83.31,102.3,9.75,21.32,14.16,7.08,4.2,9.46,16.82,21.43,14.9,21.9
84,70.0,16.26,35.65,212.65,36.3,5.3,2.92,2.21,3.0,100.0,52.62,0.78,155.5,12.26,7.82,296.7,70.0,71.2,31.84,3.45,0.87,282.58,37.77,96.36,4.16,42.0,71.5,19.13,65.66,21.28,10.24,19.28,6.33,64.16,5.22,15.11,28.42,8.7,28.42,0.59,3.52,0.61,19.88,21.87,57.93,18.76,70.46,7.46,11518.0,52.13,1.65,212.65,2.78,2.91,0.15,68.8,86.6,16.86,14.22,10.08,0.78,0.67,4.18,8.28,13.47,23.69,6.46
85,28.57,6.74,74.72,104.25,38.6,2.76,3.57,0.41,3.0,98.9,0.0,-3.85,178.48,8.94,4.82,197.4,28.57,96.84,18.3,2.75,1.37,330.76,35.8,95.96,5.5,33.27,71.8,19.68,64.46,21.1,10.76,13.04,8.24,67.96,5.5,14.42,117.79,6.91,117.79,0.63,12.83,4.81,41.91,19.17,57.22,20.35,92.57,4.91,7294.0,57.35,0.97,104.25,0.55,2.71,2.85,69.44,108.3,2.55,2.62,8.39,-3.85,1.18,18.21,1.73,14.01,18.62,3.0
86,100.0,16.95,0.0,482.29,39.8,0.0,14.41,0.0,3.0,100.0,63.24,-19.77,308.94,5.65,0.0,20.48,100.0,100.0,100.0,0.0,0.0,655.12,18.1,0.0,0.0,66.99,66.8,62.15,72.46,25.77,4.55,25.0,52.27,18.18,11.3,12.32,75.79,28.49,75.79,0.82,0.0,0.0,0.0,9.66,38.63,11.21,100.0,7.56,357.0,45.19,0.0,482.29,16.95,1.17,76.74,3.77,111.6,7.18,40.87,5.65,-19.77,12.13,39.65,-4.8,15.23,17.83,20.0
87,80.77,18.41,0.0,146.66,40.5,0.0,2.81,0.0,3.0,99.45,10.88,-0.45,194.79,11.15,7.83,1298.0,80.77,73.23,25.46,2.89,1.64,442.22,58.51,69.22,3.21,36.16,69.1,50.94,57.78,19.12,16.71,8.82,0.89,73.58,6.6,13.99,95.57,5.35,95.57,0.65,1.24,2.06,103.61,18.01,54.58,16.0,86.66,6.29,24457.0,78.07,1.44,146.66,-3.85,13.04,5.77,22.86,77.5,6.41,4.32,8.49,-0.45,1.78,4.69,6.91,9.4,21.53,5.02
88,50.0,4.05,0.0,232.56,60.0,38.76,1.2,11.63,3.0,100.0,0.0,-8.1,184.06,0.0,0.0,23.67,50.0,97.73,73.47,0.0,0.0,220.92,78.27,0.0,0.0,41.51,63.2,16.19,67.11,28.11,15.0,10.0,30.0,45.0,16.19,8.84,227.11,0.0,227.11,1.0,45.63,0.0,0.0,17.65,59.24,31.09,100.0,4.82,249.0,82.2,0.0,232.56,12.15,0.42,0.28,81.21,179.9,3.23,7.75,8.1,-8.1,14.92,19.94,-0.8,16.8,46.98,86.96
89,73.33,4.76,0.0,83.17,37.7,0.0,2.02,0.0,3.0,98.9,25.76,1.67,120.92,12.49,7.85,2507.0,73.33,56.44,42.15,3.12,0.62,291.98,49.65,77.04,3.4,50.7,70.7,23.06,60.42,20.96,17.08,9.36,0.33,73.23,6.0,12.74,25.27,6.21,25.27,0.53,5.28,0.0,40.67,16.45,46.8,12.58,94.08,5.69,16247.0,65.14,1.12,83.17,-5.62,13.75,0.48,72.42,72.0,19.63,5.31,8.59,1.67,0.1,9.01,-2.92,8.98,9.12,4.95
90,70.83,5.15,32.19,126.19,41.8,0.26,2.18,2.43,3.0,100.0,0.0,-0.08,157.66,11.35,7.24,1226.0,70.83,65.49,49.43,3.56,0.26,402.05,73.83,98.54,3.62,48.6,70.4,32.62,65.36,21.27,21.08,6.32,1.18,71.42,4.85,14.43,45.95,4.33,45.95,0.56,1.81,0.2,32.9,20.09,56.14,14.54,74.01,5.35,39178.0,78.22,1.86,126.19,0.61,9.17,0.47,67.87,74.1,30.55,13.89,8.29,-0.08,1.66,11.42,2.03,7.75,19.87,8.76
91,50.0,13.33,0.0,58.44,43.4,16.23,8.73,0.0,3.0,95.07,0.0,-8.33,70.86,6.67,5.0,18.81,50.0,99.32,49.25,0.0,0.0,317.35,58.55,0.0,9.09,28.8,63.1,30.0,65.12,17.66,9.18,5.1,52.04,33.67,13.33,17.49,178.42,0.0,178.42,0.89,70.84,0.0,0.0,11.19,38.62,10.26,100.0,3.8,606.0,77.78,0.0,58.44,-5.0,0.19,0.5,60.5,167.9,3.23,3.25,8.33,-8.33,11.54,19.79,-0.33,25.87,19.72,9.71
92,100.0,95.36,0.0,160.0,49.7,0.0,0.0,0.0,3.0,98.36,0.0,0.0,199.85,0.0,1.32,6.31,100.0,100.0,89.81,0.0,13.19,295.66,10.59,69.7,3.57,77.18,66.7,37.09,55.65,18.34,10.47,3.49,43.02,43.02,15.89,15.3,-51.26,13.32,-51.26,1.1,659.41,0.0,220.0,21.25,57.5,18.19,97.78,7.12,758.0,84.13,0.0,160.0,-11.92,0.91,32.05,49.53,154.8,0.98,13.33,6.62,0.0,3.96,19.96,33.22,24.46,32.93,20.62
93,40.0,3.8,0.0,37.81,78.1,0.0,0.0,0.0,3.0,100.0,0.0,-5.7,233.41,0.0,0.0,32.22,40.0,99.35,100.0,0.0,0.0,234.43,54.05,0.0,0.0,54.47,62.6,17.11,60.73,23.68,11.76,11.76,20.59,55.88,5.7,10.34,0.0,0.0,0.0,0.85,62.84,0.0,0.0,18.87,62.05,24.53,100.0,3.38,532.0,89.2,0.0,37.81,-1.9,0.71,0.12,70.67,135.1,61.07,151.23,1.9,-5.7,13.18,15.88,6.61,11.16,57.54,72.73
94,83.33,7.85,0.0,171.64,34.2,0.0,4.66,8.63,3.0,98.9,7.97,-1.72,167.88,6.13,1.72,100.79,83.33,88.96,22.73,2.45,2.46,293.34,40.65,96.88,6.67,61.93,76.1,23.79,61.33,18.8,13.7,14.44,14.44,57.41,6.13,15.6,230.14,7.33,230.14,0.68,46.01,0.0,42.78,21.77,57.5,17.16,75.6,4.63,4064.0,66.21,0.49,171.64,-1.47,1.24,0.67,63.29,89.3,4.79,3.95,6.13,-1.72,8.84,5.89,4.15,16.18,11.05,8.5
95,50.0,6.75,0.0,73.45,24.2,2.07,3.34,0.1,3.0,99.45,0.0,7.6,173.2,5.72,3.19,3127.0,50.0,62.3,36.38,2.76,0.95,290.6,56.76,0.0,3.37,20.89,79.4,21.1,51.2,12.24,18.78,6.68,0.14,74.41,4.03,18.6,42.12,6.51,42.12,0.63,0.0,0.0,0.0,18.61,60.51,22.13,93.15,2.96,10572.0,87.32,1.58,73.45,-1.22,35.24,1.82,40.0,83.7,18.09,25.86,14.16,7.6,0.15,4.54,43.06,9.83,10.74,8.93
96,75.0,7.52,0.0,152.25,41.4,12.18,13.44,42.63,3.0,100.0,0.0,2.51,165.4,2.51,0.0,44.95,75.0,98.21,11.15,12.71,0.0,361.22,65.65,0.0,10.0,40.0,66.5,17.54,66.67,20.75,15.29,20.0,32.94,31.76,6.27,13.04,231.71,0.0,231.71,0.88,39.6,0.0,0.0,19.23,66.12,17.01,98.73,6.58,805.0,64.15,0.0,152.25,1.25,1.62,0.11,71.6,111.4,89.93,304.51,13.78,2.51,8.1,23.53,1.9,21.67,19.81,17.24
97,100.0,5.17,0.0,192.69,48.7,0.0,4.64,9.88,1.0,100.0,0.0,-3.1,122.04,2.07,0.0,128.18,100.0,99.08,46.5,10.56,0.0,311.2,32.04,75.0,0.0,47.81,69.4,42.4,58.0,20.86,16.39,8.2,11.48,63.93,6.2,11.45,39.62,0.0,39.62,0.71,0.0,0.0,218.91,18.12,61.63,22.82,96.05,5.93,978.0,88.31,0.0,192.69,1.03,1.93,0.75,53.12,136.0,8.0,7.91,8.27,-3.1,10.86,15.82,-2.4,18.14,24.58,39.06
98,50.0,3.63,0.0,220.0,34.9,0.0,6.18,0.0,3.0,100.0,0.0,16.33,174.58,1.81,0.0,97.16,50.0,100.0,100.0,0.0,0.0,239.02,50.46,0.0,0.0,54.47,68.4,36.3,60.41,16.82,17.24,3.45,13.79,65.52,3.63,17.73,63.74,0.0,63.74,0.79,0.0,0.0,0.0,16.67,64.14,27.85,100.0,6.03,547.0,88.75,0.0,220.0,7.26,2.26,0.54,45.18,118.0,145.45,177.78,21.78,16.33,9.46,17.72,53.22,7.33,25.3,39.47
99,50.0,8.05,0.0,154.47,50.2,0.0,13.61,0.0,3.0,99.18,0.0,0.0,161.0,0.0,0.0,33.56,50.0,100.0,72.33,0.0,0.0,350.22,32.3,0.0,13.33,33.33,65.4,32.19,72.82,20.77,8.33,10.0,40.0,41.67,8.05,15.73,106.73,0.0,106.73,1.0,0.0,0.0,0.0,17.71,61.34,20.95,100.0,3.02,496.0,77.83,0.0,154.47,0.0,1.14,1.21,65.7,176.6,4.73,16.26,10.06,0.0,6.6,6.64,12.22,25.42,32.52,12.35
100,20.0,0.0,0.0,179.69,35.3,0.0,0.0,0.0,3.0,99.18,0.0,0.0,157.9,0.0,0.0,20.14,20.0,100.0,100.0,0.0,0.0,194.96,50.22,0.0,25.0,48.8,68.7,8.33,63.01,21.85,11.76,0.0,52.94,35.29,16.67,14.29,503.38,0.0,503.38,0.9,0.0,0.0,0.0,17.27,51.82,20.0,100.0,1.68,119.0,91.84,0.0,179.69,8.33,0.2,0.5,66.5,136.6,25.0,23.44,8.33,0.0,6.49,15.77,-7.75,26.67,18.92,105.26
101,58.21,9.87,13.69,137.9,34.7,0.34,2.71,2.6,3.0,99.45,0.0,1.4,175.53,11.13,8.02,934.11,58.21,69.72,37.87,3.75,1.71,243.8,44.63,83.94,2.96,2.33,71.0,44.6,54.05,17.77,13.58,7.18,1.47,77.76,5.29,12.8,8.86,6.81,8.86,0.65,1.65,0.0,43.34,18.0,61.04,22.47,88.83,3.09,29219.0,72.85,1.19,137.9,0.75,12.81,1.01,59.09,85.6,17.07,18.19,8.81,1.4,0.22,2.31,-1.83,10.55,12.11,6.15
102,40.0,9.77,0.0,577.57,68.6,0.0,10.75,47.73,2.0,100.0,0.0,-9.77,315.19,2.44,0.0,18.52,40.0,99.25,46.65,12.3,0.0,402.93,35.88,100.0,0.0,47.61,61.1,25.64,57.47,23.97,8.99,12.36,34.83,43.82,7.33,10.58,40.45,0.0,40.45,0.93,0.0,21.35,0.0,26.0,61.19,18.37,100.0,1.58,822.0,80.94,0.0,577.57,-4.88,0.49,0.11,62.83,101.3,1.6,3.58,7.33,-9.77,7.7,16.73,2.49,16.54,52.82,61.73
103,25.0,5.95,0.0,138.66,43.8,0.0,2.74,13.56,3.0,100.0,0.0,-2.97,177.34,2.23,0.74,88.51,25.0,99.36,76.32,7.44,0.0,282.38,36.88,83.33,0.0,14.13,68.8,22.3,59.15,18.62,8.51,5.32,29.79,56.38,7.43,13.13,128.9,0.0,128.9,0.83,28.55,0.0,150.0,16.18,66.43,29.23,100.0,3.56,1348.0,87.09,0.0,138.66,-2.97,2.57,0.45,44.71,139.5,3.51,9.8,7.43,-2.97,8.11,16.89,9.86,13.32,22.4,11.36
104,66.67,3.1,0.0,547.99,52.2,0.0,0.0,0.0,1.0,98.9,0.0,6.19,152.54,0.0,0.0,46.22,66.67,100.0,100.0,0.0,0.0,111.47,14.65,0.0,0.0,43.85,64.6,58.82,58.65,14.85,13.64,0.0,27.27,59.09,6.19,18.18,264.47,0.0,264.47,0.82,0.0,0.0,0.0,17.83,66.08,29.02,100.0,1.21,330.0,84.38,0.0,547.99,-3.1,0.48,0.14,75.77,161.6,88.0,68.11,12.38,6.19,3.79,15.13,20.0,18.05,37.88,39.22
105,55.56,5.58,0.0,175.16,31.0,0.0,3.04,13.38,3.0,100.0,0.0,4.34,176.6,1.86,0.62,93.28,55.56,99.4,56.22,6.05,0.0,248.23,34.44,88.89,8.7,54.47,73.2,48.36,60.62,17.19,13.14,20.44,13.87,52.55,4.34,16.82,115.77,0.0,115.77,0.88,6.31,0.0,96.09,17.99,74.07,26.49,100.0,2.61,1611.0,86.27,0.0,175.16,-6.82,1.1,3.43,40.58,115.3,39.42,26.11,11.16,4.34,5.6,12.83,24.4,14.33,15.28,7.66
106,80.0,22.68,0.0,413.12,44.3,0.0,0.0,0.0,3.0,100.0,0.0,-1.13,124.69,1.13,0.0,65.62,80.0,99.68,71.32,11.66,0.0,251.63,36.77,0.0,7.41,68.62,68.0,22.68,55.65,17.99,13.64,6.06,4.55,75.76,11.34,12.63,118.27,0.0,118.27,0.9,75.09,0.0,0.0,15.68,73.94,34.62,100.0,6.15,895.0,85.6,0.0,413.12,-14.74,5.37,0.37,61.91,155.6,4.09,34.52,10.2,-1.13,11.92,16.94,3.23,10.97,25.4,18.52
107,100.0,0.0,0.0,180.72,44.9,180.72,0.0,0.0,3.0,99.18,0.0,-5.85,139.97,0.0,0.0,18.3,100.0,100.0,100.0,0.0,0.0,297.46,97.1,0.0,0.0,52.75,61.1,5.85,61.9,15.88,25.0,0.0,50.0,25.0,11.7,18.82,-88.69,0.0,-88.69,0.61,0.0,0.0,0.0,16.88,46.75,16.88,100.0,0.0,170.0,89.04,0.0,180.72,23.39,0.12,0.11,75.39,105.2,5.26,6.02,5.85,-5.85,6.56,8.34,13.33,19.48,15.0,40.0
